trade_date,symbol,name,pattern_id,close,old_high_date,distance_to_old_high_pct,reason,ma_10,ma_20,ma_60,return_15d,volume_ratio_20,platform_window_days,platform_range_pct,breakout_date,distance_to_platform_high_pct,consolidation_days,consolidation_range_pct,consolidation_volume_ratio,distance_to_ma20,drawdown_15d,volume_contraction_ratio,old_high_price,days_since_old_high,max_drawdown_since_old_high
2026-04-09,"=""601988""",中国银行,2,5.69,,,"recent platform breakout on 2026-03-31, platform_range=7.58%, distance=0.18%",5.755,5.608,5.4537,0.0345,0.7407,20.0,0.07575757575757565,2026-03-31,0.001760563380281809,,,,,,,,,
2026-04-09,"=""603196""",璞源材料,2,31.33,,,"recent platform breakout on 2026-04-08, platform_range=14.98%, distance=6.86%",28.267,27.6785,26.545,0.1561,2.7126,20.0,0.14980392156862746,2026-04-08,0.06855388813096855,,,,,,,,,
2026-04-09,"=""603288""",海天味业,2,41.15,,,"recent platform breakout on 2026-03-31, platform_range=14.82%, distance=1.38%",40.749,39.216,37.3578,0.0672,0.5557,20.0,0.14823196605374828,2026-03-31,0.01379650160137953,,,,,,,,,
2026-04-09,"=""603565""",中谷物流,2,11.32,,,"recent platform breakout on 2026-03-30, platform_range=6.94%, distance=-0.70%",11.391,11.229,10.6793,0.0162,0.7496,20.0,0.06941838649155724,2026-03-30,-0.007017543859649129,,,,,,,,,
2026-04-09,"=""605178""",时空科技,2,79.1,,,"recent platform breakout on 2026-04-09, platform_range=14.83%, distance=9.59%",68.689,68.1585,66.3942,0.1257,2.5652,20.0,0.1482659879096406,2026-04-09,0.09587143252978646,,,,,,,,,
2026-04-09,"=""605319""",无锡振华,2,27.83,,,"recent platform breakout on 2026-04-03, platform_range=13.76%, distance=8.25%",25.624,24.738,24.1183,0.1639,2.0235,20.0,0.1376106194690265,2026-04-03,0.0824581874756903,,,,,,,,,
2026-04-09,"=""000973""",佛塑科技,3,17.41,,,"trend pullback near MA20: distance=1.04%, drawdown_15d=11.13%, vol_5d/20d=0.76",18.137,17.23,14.5832,0.1005,0.6666,,,,,,,,0.010446894950667529,0.11128126595201637,0.7623082844881741,,,
2026-04-09,"=""002360""",同德化工,3,6.54,,,"trend pullback near MA20: distance=1.86%, drawdown_15d=1.80%, vol_5d/20d=0.72",6.453,6.4205,5.7215,0.0093,0.734,,,,,,,,0.018612257612335537,0.018018018018018056,0.7159894506147418,,,
2026-04-09,"=""002638""",勤上股份,3,4.26,,,"trend pullback near MA20: distance=2.42%, drawdown_15d=3.62%, vol_5d/20d=0.57",4.265,4.1595,3.4948,0.0071,0.5302,,,,,,,,0.024161557879552875,0.03619909502262442,0.5651128623111498,,,
2026-04-09,"=""002832""",比音勒芬,3,17.36,,,"trend pullback near MA20: distance=1.57%, drawdown_15d=0.91%, vol_5d/20d=0.82",17.295,17.092,16.0177,0.0146,0.9925,,,,,,,,0.015679850222326097,0.0091324200913242,0.8206734163420624,,,
2026-04-09,"=""003816""",中国广核,3,4.54,,,"trend pullback near MA20: distance=2.95%, drawdown_15d=2.37%, vol_5d/20d=0.66",4.563,4.41,4.0958,0.094,0.601,,,,,,,,0.02947845804988658,0.023655913978494647,0.6647323093317125,,,
2026-04-09,"=""600545""",卓郎智能,3,3.95,,,"trend pullback near MA20: distance=1.04%, drawdown_15d=5.28%, vol_5d/20d=0.84",3.783,3.9095,3.2662,-0.1124,0.7694,,,,,,,,0.010359380995012213,0.052757793764987904,0.842907417631878,,,
2026-04-09,"=""603558""",健盛集团,3,13.84,,,"trend pullback near MA20: distance=0.09%, drawdown_15d=10.13%, vol_5d/20d=0.64",13.919,13.8275,12.3973,-0.0086,0.7657,,,,,,,,0.0009039956608209998,0.10129870129870133,0.6420440459928164,,,
2026-04-09,"=""603829""",洛凯股份,3,28.92,,,"trend pullback near MA20: distance=2.92%, drawdown_15d=2.00%, vol_5d/20d=0.62",28.674,28.099,26.1033,0.034,0.7771,,,,,,,,0.029218121641339634,0.01999322263639447,0.6227137815155773,,,
2026-04-09,"=""000155""",上证市值百强指数,4,17.17,,,"second wave after 26.06% in 30d, consolidation=5d range=11.35%, vol_ratio=0.90",16.241,15.2795,13.9047,0.2247,1.548,,,,,5.0,0.11351706036745397,0.9010646124924547,,,,,,
2026-04-09,"=""000155""",川能动力,4,17.17,,,"second wave after 26.06% in 30d, consolidation=5d range=11.35%, vol_ratio=0.90",16.241,15.2795,13.9047,0.2247,1.548,,,,,5.0,0.11351706036745397,0.9010646124924547,,,,,,
2026-04-09,"=""002350""",北京科锐,4,14.7,,,"second wave after 44.40% in 30d, consolidation=8d range=12.90%, vol_ratio=0.66",14.238,14.167,11.6803,0.0825,0.691,,,,,8.0,0.12900820283370623,0.6604048812194163,,,,,,
2026-04-09,"=""002902""",铭普光磁,4,28.83,,,"second wave after 35.42% in 30d, consolidation=5d range=13.92%, vol_ratio=0.95",27.975,25.493,22.7032,0.3237,1.716,,,,,5.0,0.13920671243325713,0.9534863578655233,,,,,,
2026-04-09,"=""600498""",烽火通信,4,54.95,,,"second wave after 28.99% in 30d, consolidation=5d range=10.20%, vol_ratio=1.00",49.153,48.4015,45.6505,0.1532,1.4499,,,,,5.0,0.10204081632653064,0.9961151744190112,,,,,,
2026-04-09,"=""600539""",狮头股份,4,15.08,,,"second wave after 29.55% in 30d, consolidation=5d range=13.39%, vol_ratio=0.69",14.401,13.1715,11.7982,0.23,1.2484,,,,,5.0,0.13387573964497046,0.6912146038144122,,,,,,
2026-04-09,"=""603507""",振江股份,4,46.21,,,"second wave after 48.78% in 30d, consolidation=7d range=10.92%, vol_ratio=0.77",42.048,40.0715,33.6105,0.2496,0.9656,,,,,7.0,0.10920554854981081,0.7664423267121372,,,,,,
2026-04-09,"=""603929""",亚翔集成,4,198.99,,,"second wave after 41.67% in 30d, consolidation=8d range=11.47%, vol_ratio=0.57",183.748,176.9455,152.9043,0.0941,1.0141,,,,,8.0,0.11467224060848866,0.5706804627072547,,,,,,
2026-04-09,"=""605366""",宏柏新材,4,12.07,,,"second wave after 39.22% in 30d, consolidation=10d range=14.50%, vol_ratio=0.81",11.294,10.8495,8.86,0.1176,1.0747,,,,,10.0,0.14503816793893126,0.8126272562849882,,,,,,
