intraday_trade_date,symbol,name,intraday_pct_change,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase5_score_100,atr_pct_14,建议总仓位%,intraday_source,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,atr_trade_date,atr_close,atr_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase4_rank,phase4_5d_mean_rank,phase4_5d_mean_top5,phase1_rank,phase2_rank,phase1_excluded_by_top20_risk,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase1_feature_trade_date,phase2_feature_trade_date,phase4_feature_trade_date,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,track_stock,prev_rank,universe_rank,intraday_quote_datetime,intraday_quote_time,intraday_fetched_at,intraday_provisional,prev_source_tags,prev_reason,prev_watchlist_streak,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,prev_phase5_score_100,phase4_5d_count
2026-05-12,600831,广电网络,0.26,phase4_top,False,,,95.45,100.0,40.91,75.88,14.73,75.01,0.0376,31.29,eastmoney_direct,above_signal,none,bullish,False,False,,,True,False,0.02434515894624667,-0.032651111656913014,0.11399254120631937,2026-05-12,3.92,0.1474,3.7726,3.6251,4.2149,4.3623,中等波动,53.638,53.638,69.1,60.0,14,444,False,2,1,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.02530155161307087,0.02857637291405366,lightgbm_classifier,barrier_risk_phase2_v1,广电网络,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,14,590,2026-05-12 10:52:48,10:52:48,2026-05-12T10:53:12,True,"[""phase4_top""]",,1,,75.11,78.03,96.05,75.01,3
2026-05-12,605058,澳弘电子,-0.97,,False,,,68.18,40.91,36.36,83.82,20.05,,0.0427,27.58,eastmoney_direct,golden_cross,none,none,False,False,,,False,False,1.0107011531665293,0.8824778617025001,0.25644658292805844,2026-05-12,38.64,1.6485,36.9915,35.343,41.937,43.5855,中等波动,45.0872,45.0872,76.36000000000001,21.819999999999993,15,223,False,8,14,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.0313183393134774,0.02452514597503166,lightgbm_classifier,barrier_risk_phase2_v1,澳弘电子,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1525,2026-05-12 10:52:55,10:52:55,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,600929,雪天盐业,1.46,,False,,,31.82,45.45,31.82,91.75,1.86,,0.0433,27.15,eastmoney_direct,below_signal,bottom_divergence,none,True,True,2026-05-12,2026-04-29,False,False,0.1494259213227478,0.18485717133986487,-0.07086250003423417,2026-05-12,6.93,0.3003,6.6297,6.3293,7.5307,7.831,中等波动,35.8192,35.8192,3.6400000000000006,30.900000000000006,16,74,False,16,13,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.023429016446908542,0.0217285109317216,lightgbm_classifier,barrier_risk_phase2_v1,雪天盐业,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,657,2026-05-12 10:52:51,10:52:51,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,603966,法兰泰克,-1.04,,False,,,50.0,59.09,27.27,92.5,3.51,,0.0337,34.87,eastmoney_direct,below_signal,none,bullish,False,False,,,True,False,0.3137911817629302,0.3205347137852004,-0.013487064044540364,2026-05-12,14.3,0.4825,13.8175,13.335,15.265,15.7474,中等波动,37.4516,37.4516,40.0,58.18000000000001,17,64,False,12,10,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.025093390592552136,0.027857827015493823,lightgbm_classifier,barrier_risk_phase2_v1,法兰泰克,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1484,2026-05-12 10:52:55,10:52:55,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,002012,凯恩股份,-0.56,,False,,,63.64,81.82,22.73,78.84,11.64,,0.0344,34.15,eastmoney_direct,above_signal,none,none,False,False,,,False,False,0.05029318042287034,0.03150513789034856,0.03757608506504356,2026-05-12,7.1,0.2446,6.8554,6.6108,7.5892,7.8338,中等波动,39.6756,39.6756,67.28,96.36000000000001,18,355,False,9,5,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.022648513885950336,0.03059942333869065,lightgbm_classifier,barrier_risk_phase2_v1,凯恩股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2119,2026-05-12 10:52:57,10:52:57,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,601231,环旭电子,0.34,,False,,,77.27,54.55,18.18,84.52,6.87,,0.0581,20.25,eastmoney_direct,above_signal,none,bullish,False,False,,,True,False,1.0857715838835276,1.0017303369207708,0.16808249392551344,2026-05-12,41.32,2.4004,38.9196,36.5192,46.1208,48.5213,中等波动,31.6352,31.6352,94.53999999999999,49.099999999999994,19,208,False,6,11,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.04379036712152257,0.0302116677886214,lightgbm_classifier,barrier_risk_phase2_v1,环旭电子,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,784,2026-05-12 10:52:52,10:52:52,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,603912,佳力图,-0.96,pattern,True,1,"[""1""]",90.91,68.18,13.64,85.7,6.57,64.06,0.0512,22.98,eastmoney_direct,above_signal,bottom_divergence,bullish,True,True,2026-05-12,2026-04-24,True,False,0.38638398037691957,0.3265901364405958,0.11958768787264751,2026-05-12,11.4,0.5836,10.8164,10.2327,12.5673,13.1509,中等波动,29.0576,29.0576,78.18,76.36000000000001,20,184,False,3,8,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.036586097154598346,0.03317083417517084,lightgbm_classifier,barrier_risk_phase2_v1,佳力图,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,12,1460,2026-05-12 10:52:54,10:52:54,2026-05-12T10:53:12,True,"[""pattern""]","near old high 11.90 from 2025-08-19, distance=3.28%, drawdown=33.61%, vol20=0.76",2,"[{""pattern_id"": 1, ""reason"": ""near old high 11.90 from 2025-08-19, distance=3.28%, drawdown=33.61%, vol20=0.76"", ""close"": 11.51, ""old_high_date"": ""2025-08-19"", ""old_high_price"": 11.9, ""days_since_old_high"": 171.0, ""max_drawdown_since_old_high"": 0.3361, ""distance_to_old_high_pct"": 0.0328, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 0.7559}]",75.14,20.4,76.54,64.06,3
2026-05-12,002628,成都路桥,0.17,pattern,True,1,"[""1""]",40.91,22.73,9.09,83.0,7.23,69.87,0.0394,29.89,eastmoney_direct,above_signal,none,bullish,False,False,,,True,False,0.17167645004781562,0.14245711884185913,0.05843866241191298,2026-05-12,5.88,0.2314,5.6486,5.4172,6.3428,6.5743,中等波动,10.8356,10.8356,21.819999999999993,0.0,21,239,False,14,18,False,False,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.027533087316629713,0.025836557076987874,lightgbm_classifier,barrier_risk_phase2_v1,成都路桥,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,5,2650,2026-05-12 10:53:09,10:53:09,2026-05-12T10:53:12,True,"[""pattern""]","near old high 6.08 from 2025-07-22, distance=3.45%, drawdown=35.03%, vol20=1.13",2,"[{""pattern_id"": 1, ""reason"": ""near old high 6.08 from 2025-07-22, distance=3.45%, drawdown=35.03%, vol20=1.13"", ""close"": 5.87, ""old_high_date"": ""2025-07-22"", ""old_high_price"": 6.08, ""days_since_old_high"": 191.0, ""max_drawdown_since_old_high"": 0.3503, ""distance_to_old_high_pct"": 0.0345, ""extension_above_old_high_pct"": 0.0, ""volume_ratio_20"": 1.1256}]",40.66,12.85,90.83,69.87,3
2026-05-12,600707,彩虹股份,4.15,,False,,,4.55,4.55,4.55,34.86,45.57,,0.0567,20.75,eastmoney_direct,above_signal,none,none,False,False,,,False,False,0.6765000943777677,0.6103613072323373,0.13227757429086084,2026-05-12,9.53,0.5404,8.9896,8.4491,10.6109,11.1513,中等波动,4.55,4.55,0.0,0.0,22,2159,False,22,22,True,True,1,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.039347895253410516,0.029629260181535357,lightgbm_classifier,barrier_risk_phase2_v1,彩虹股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,True,,491,2026-05-12 10:52:50,10:52:50,2026-05-12T10:53:12,True,,,,,,,,,3
2026-05-12,600545,卓郎智能,-1.49,,False,,,18.18,0.0,0.0,69.25,41.68,,0.0636,18.49,eastmoney_direct,above_signal,bottom_divergence,bullish,False,True,,2026-04-24,True,False,0.46927680403991534,0.3483243515806252,0.2419049049185803,2026-05-12,5.97,0.3799,5.5901,5.2103,6.7297,7.1096,高波动,0.0,0.0,0.0,0.0,23,679,False,19,23,True,True,0,2026-05-12,2026-05-12,2026-05-12,logistic_regression,tail_risk_phase1_v1,0.049301540458940904,0.028231095889061322,lightgbm_classifier,barrier_risk_phase2_v1,卓郎智能,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,366,2026-05-12 10:52:50,10:52:50,2026-05-12T10:53:12,True,,,,,,,,,3
