intraday_trade_date,symbol,name,intraday_pct_change,prev_source,prev_pattern_match,prev_pattern_id,prev_pattern_ids,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase5_score_100,atr_pct_14,建议总仓位%,intraday_source,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,atr_trade_date,atr_close,atr_14,atr_stop_loss_1x,atr_stop_loss_2x,atr_take_profit_2x,atr_take_profit_3x,atr_volatility_regime,intraday_focus_score,centered_risk_score,phase1_center_score,phase2_center_score,phase4_rank,phase4_5d_mean_rank,phase4_5d_mean_top5,phase1_rank,phase2_rank,phase1_excluded_by_top20_risk,phase2_excluded_by_top20_risk,phase2_is_cusum_event,phase1_feature_trade_date,phase2_feature_trade_date,phase4_feature_trade_date,phase1_model_name,phase1_model_version,phase2_mlfin_daily_vol,phase2_mlfin_cusum_threshold,phase2_model_name,phase2_model_version,phase4_name,phase4_model_name,phase4_model_version,track_stock,prev_rank,universe_rank,intraday_quote_datetime,intraday_quote_time,intraday_fetched_at,intraday_provisional,prev_source_tags,prev_reason,prev_watchlist_streak,prev_patterns,prev_phase1_score_100,prev_phase2_score_100,prev_phase4_score_100,prev_phase5_score_100,phase4_5d_count,intraday_selection_source
2026-05-11,600545,卓郎智能,,,False,,,81.45,79.84,98.63,69.25,41.68,,0.06,19.6,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-24,False,False,0.4279546425853215,0.3180862384658026,0.2197368082390378,2026-05-11,6.06,0.3637,5.6963,5.3326,6.7874,7.1511,高波动,118.3596,118.3596,97.1,99.68,42,679.0,False,554,602,False,False,1.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0496660993930052,0.0282227807964923,lightgbm_classifier,barrier_risk_phase2_v1,卓郎智能,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,366,2026-05-11 15:00:04,15:00:04,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,002108,沧州明珠,,,False,,,60.92,85.94,99.87,94.13,4.42,,0.0464,25.37,sina_raw,golden_cross,none,none,False,False,,,False,False,0.2673527206754817,0.2328300004842454,0.0690454403824727,2026-05-11,6.44,0.2986,6.1414,5.8427,7.0373,7.3359,中等波动,115.3916,115.3916,61.84,88.12,5,39.0,False,1166,420,False,False,1.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0312778949768317,0.0285676774309624,lightgbm_classifier,barrier_risk_phase2_v1,沧州明珠,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2201,2026-05-11 15:00:00,15:00:00,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,002943,宇晶股份,,,False,,,68.4,70.35,99.2,34.96,45.41,,0.052,22.64,sina_raw,above_signal,none,none,False,False,,,False,False,5.6442174877537,3.2691407156711025,4.750153544165195,2026-05-11,81.95,4.259,77.691,73.432,90.468,94.727,中等波动,115.028,115.028,76.80000000000001,80.69999999999999,25,2155.0,False,943,885,False,False,1.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.043355062034955,0.035704716148438,lightgbm_classifier,barrier_risk_phase2_v1,宇晶股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2908,2026-05-11 15:00:00,15:00:00,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,600831,广电网络,,,False,,,75.04,78.03,96.08,75.88,14.73,,0.039,30.14,sina_raw,above_signal,none,bullish,False,False,,,True,False,0.0156239272876668,-0.0469001793077029,0.1250482131907395,2026-05-11,3.91,0.1526,3.7574,3.6047,4.2153,4.3679,中等波动,114.8136,114.8136,90.08000000000001,96.06,118,444.0,False,745,656,False,False,0.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0255516989458012,0.0285776124376346,lightgbm_classifier,barrier_risk_phase2_v1,广电网络,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,590,2026-05-11 15:00:04,15:00:04,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,600481,双良节能,,,False,,,100.0,81.89,98.33,94.88,2.44,,0.0399,29.51,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-05-06,False,False,-0.17665032498694,-0.2352402248419208,0.1171797997099616,2026-05-11,6.46,0.2575,6.2025,5.9449,6.9751,7.2326,中等波动,114.6764,114.6764,60.0,96.22,51,28.0,False,1,541,False,False,0.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0377592443430938,0.0332211606896339,lightgbm_classifier,barrier_risk_phase2_v1,双良节能,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,318,2026-05-11 15:00:01,15:00:01,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,002491,通鼎互联,,,False,,,65.18,93.53,99.97,99.96,0.04,,0.0619,19.01,sina_raw,above_signal,bottom_divergence,none,False,True,,2026-04-20,False,False,1.8990337195550355,1.4729693399608896,0.8521287591882913,2026-05-11,22.73,1.407,21.323,19.9159,25.5441,26.9511,高波动,114.3516,114.3516,70.36000000000001,72.94,2,1.0,True,1039,194,False,False,1.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0536433970014949,0.0286561398506427,lightgbm_classifier,barrier_risk_phase2_v1,通鼎互联,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,2539,2026-05-11 15:00:00,15:00:00,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,000605,渤海股份,,,False,,,74.54,86.78,96.85,91.44,5.69,,0.0277,40.0,sina_raw,above_signal,bottom_divergence,bullish,False,True,,2026-04-27,True,False,0.07651693919329,0.0130995120813141,0.1268348542239518,2026-05-11,7.22,0.2002,7.0198,6.8196,7.6204,7.8206,低波动,114.3492,114.3492,89.08000000000001,86.44,95,79.0,False,760,395,False,False,0.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0198378458378228,0.0287876682914337,lightgbm_classifier,barrier_risk_phase2_v1,渤海股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,,1773,2026-05-11 15:00:00,15:00:00,2026-05-11T16:58:33,True,,,,,,,,,3.0,top20
2026-05-11,605162,新中港,,pattern,True,6.0,"[""6""]",86.25,70.75,90.05,58.75,34.99,68.6,0.067,17.57,sina_raw,below_signal,bottom_divergence,none,False,True,,2026-04-20,False,False,-0.1167027191686891,0.1239754889136121,-0.4813564161646026,2026-05-11,11.68,0.7821,10.8979,10.1157,13.2443,14.0264,高波动,106.83,106.83,87.5,81.5,298,1134.0,False,411,873,False,False,0.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0407021939057288,0.0278738458502373,lightgbm_classifier,barrier_risk_phase2_v1,新中港,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,14.0,1552,2026-05-11 15:00:03,15:00:03,2026-05-11T16:58:33,True,"[""pattern""]","double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",1.0,"[{""pattern_id"": 6, ""reason"": ""double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d"", ""close"": 11.77, ""pullback_low_date"": ""2026-04-30"", ""pullback_low_price"": 11.09, ""peak_to_pullback_drawdown_pct"": 0.2836, ""pullback_back_half_volume_ratio"": 0.4871, ""volume_ratio_20"": 0.4431, ""pattern6_branch"": ""break_reclaim"", ""anchor_date"": ""2026-03-31"", ""anchor_close"": 11.61, ""support_price"": 11.61, ""anchor_volume_ratio_prev"": 1.1209, ""anchor_volume_ratio_ma20"": 1.6448, ""launch_confirm_high_date"": ""2026-04-08"", ""launch_confirm_high_price"": 15.48, ""launch_confirm_return_pct"": 0.3333, ""peak_date"": ""2026-04-08"", ""peak_price"": 15.48, ""anchor_to_peak_return_pct"": 0.3333, ""limit_up_like_count"": 5.0, ""pullback_volume_ratio_to_anchor"": 0.8831, ""pullback_front_half_avg_volume"": 39459994.2222, ""pullback_back_half_avg_volume"": 19222045.2, ""rise_tail_avg_volume"": 62073972.6667, ""pullback_max_volume"": 51978014.0, ""pullback_max_rise_tail_volume_ratio"": 0.8374, ""breakdown_date"": ""2026-05-06"", ""breakdown_volume_ratio_to_anchor"": 0.3736, ""reclaim_date"": ""2026-05-07"", ""days_to_reclaim"": 1.0, ""post_reclaim_days"": 1.0}]",44.03,57.52,76.31,68.6,3.0,top20
2026-05-11,002012,凯恩股份,,pattern,True,5.0,"[""5""]",78.77,58.44,90.49,78.84,11.64,68.89,0.0358,32.85,sina_raw,golden_cross,none,none,False,False,,,False,False,0.0408798945289996,0.0268081272572181,0.028143534543563,2026-05-11,7.14,0.2557,6.8843,6.6286,7.6514,7.9071,中等波动,105.1188,105.1188,97.53999999999999,56.879999999999995,285,355.0,False,634,1240,False,False,0.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0228540733945547,0.0306028534117936,lightgbm_classifier,barrier_risk_phase2_v1,凯恩股份,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,13.0,2118,2026-05-11 15:00:00,15:00:00,2026-05-11T16:58:33,True,"[""pattern""]","recent 10d high on 2026-04-22 at 7.38, MA20 touch on 2026-05-08, latest distance=-3.39%, vol5_20=0.89",1.0,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 7.38, MA20 touch on 2026-05-08, latest distance=-3.39%, vol5_20=0.89"", ""close"": 7.13, ""distance_to_ma20"": 0.0283, ""volume_ratio_20"": 1.2083, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 7.38, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0339, ""ma20_slope_short_pct"": 0.0053, ""ma20_slope_long_pct"": 0.0292, ""ma60_slope_short_pct"": 0.0017, ""ma60_slope_long_pct"": 0.017, ""pullback_volume_contraction_ratio"": 0.891, ""ma20_touch_date"": ""2026-05-08"", ""ma20_touch_distance"": -0.074}]",46.07,27.11,83.13,68.89,3.0,top20
2026-05-11,605058,澳弘电子,,pattern,True,5.0,"[""5""]",73.7,12.55,97.39,83.82,20.05,75.63,0.043,27.38,sina_raw,golden_cross,none,none,False,False,,,False,False,0.9357567802624088,0.8504220388364927,0.1706694828518324,2026-05-11,39.02,1.6769,37.3431,35.6663,42.3737,44.0506,中等波动,104.382,104.382,87.4,0.0,79,223.0,False,785,2608,False,True,0.0,2026-05-11,2026-05-11,2026-05-11,logistic_regression,tail_risk_phase1_v1,0.0315778465182089,0.0245196895948401,lightgbm_classifier,barrier_risk_phase2_v1,澳弘电子,lightgbm_regressor,alpha158_qlib_return_phase4_v1,False,1.0,1524,2026-05-11 15:00:03,15:00:03,2026-05-11T16:58:33,True,"[""pattern""]","recent 10d high on 2026-04-22 at 38.81, MA20 touch on 2026-05-07, latest distance=-0.67%, vol5_20=0.83",1.0,"[{""pattern_id"": 5, ""reason"": ""recent 10d high on 2026-04-22 at 38.81, MA20 touch on 2026-05-07, latest distance=-0.67%, vol5_20=0.83"", ""close"": 38.55, ""distance_to_ma20"": 0.0578, ""volume_ratio_20"": 0.9114, ""recent_high_date"": ""2026-04-22"", ""recent_high_price"": 38.81, ""days_since_recent_high"": 9.0, ""distance_from_recent_high_pct"": -0.0067, ""ma20_slope_short_pct"": 0.0083, ""ma20_slope_long_pct"": 0.0569, ""ma60_slope_short_pct"": 0.004, ""ma60_slope_long_pct"": 0.026, ""pullback_volume_contraction_ratio"": 0.8307, ""ma20_touch_date"": ""2026-05-07"", ""ma20_touch_distance"": -0.9245}]",67.62,12.52,98.63,75.63,3.0,top20
