交易日期,编号,名称,涨幅%,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,Pattern,ATR%,建议仓位,长期主线指数,短期主线指数,P9买入分,P4五日均,P4五日std,macd
2026-05-15,"=""600143""",金发科技,2.2183,近期强势,碳中和/可降解塑料/合成生物/数字经济/氢能源/医疗器械概念/创投/碳纤维/储能/粤港澳大湾区/光伏概念/充电桩/低空经济/PEEK材料/锂电池概念/机器人概念/无人机/商业航天/特斯拉概念/固态电池,PEEK材料,63.52,35.32,42.12,51.84,55.6,,0.03,40.0,90.14,53.14,31.67,65.83,11.59,above_signal
2026-05-15,"=""002130""",沃尔核材,-1.5324,近期强势,电子-其他电子Ⅱ,电子-其他电子Ⅱ,63.58,74.66,80.65,15.13,34.1196,,0.03,34.31,89.43,52.06,31.52,23.52,10.87,below_signal
2026-05-15,"=""603626""",科森科技,0.3929,近期强势,智能音箱/富士康概念/无线耳机/新型烟草(电子烟)/元宇宙/电子-消费电子/AI PC/柔性屏(折叠屏)/虚拟现实/智能穿戴/固态电池/机器人概念/人民币贬值受益/苹果概念/消费电子概念/华为概念/海峡两岸/特斯拉概念/储能,新型烟草(电子烟),80.4,34.98,54.4,73.96,80.6128,,0.06,20.75,97.15,51.52,30.84,70.15,29.87,above_signal
2026-05-15,"=""002402""",和而泰,-1.6008,近期强势,语音技术/汽车芯片/物联网/新型工业化/人工智能/粤港澳大湾区/家用电器/华为海思概念股/AI智能体/智能医疗/DeepSeek概念/长安汽车概念/汽车热管理/智能家居/智能座舱/储能/小米概念/机器人概念/人形机器人/军工/一带一路/商业航天/机器视觉/卫星导航/智能穿戴/比亚迪概念/汽车电子/5G/人民币贬值受益/第三代半导体/芯片概念,第三代半导体,67.42,23.54,40.27,69.31,71.7748,,0.04,32.89,90.45,58.95,30.4,65.24,17.82,dead_cross
2026-05-15,"=""600619""",海立股份,2.8668,近期强势,上海国企改革/上海自贸区/冷链物流/家用电器/空气能热泵/国企改革/汽车热管理/一带一路/家用电器-家电零部件Ⅱ/比亚迪概念/小米概念/新能源汽车/光刻机/芯片概念,光刻机,67.69,30.97,23.94,39.39,39.5452,,0.03,33.82,82.51,53.36,29.71,43.46,6.73,above_signal
2026-05-15,"=""603659""",璞泰来,0.0932,近期强势,石墨电极/PVDF概念/碳中和/氢能源/储能,PVDF概念,66.48,41.58,54.47,35.11,42.8356,,0.05,24.58,69.1,51.98,29.36,54.17,20.36,below_signal
2026-05-15,"=""603379""",三美股份,2.409,近期强势,PVDF概念,PVDF概念,60.38,21.83,28.72,5.56,5.56,,0.03,36.57,69.1,51.98,29.36,18.95,11.68,below_signal
2026-05-15,"=""000969""",安泰科技,-1.7312,近期强势,有色金属-金属新材料/核污染防治/国企改革/无线充电/央企国企改革/创投/碳纤维/大飞机/燃料电池/一带一路/氢能源/航空发动机/京津冀一体化/飞行汽车(eVTOL)/MicroLED概念/核电/机器人概念/商业航天/3D打印/低空经济/军工/华为手机/华为概念/海工装备/中芯国际概念/小米概念/稀土永磁/新能源汽车,中芯国际概念,60.77,56.31,44.22,78.35,85.9724,,0.03,37.84,85.84,77.77,29.32,59.49,18.19,above_signal
2026-05-15,"=""603163""",圣晖集成,3.7082,近期强势,一带一路/中芯国际概念/海峡两岸/富士康概念/芯片概念,中芯国际概念,72.14,83.96,20.66,57.33,64.6964,,0.06,21.01,85.84,77.77,29.32,43.75,18.05,above_signal
2026-05-15,"=""002250""",联化科技,-0.323,近期强势,创新药/CRO概念/回购增持再贷款概念/基础化工-农化制品/证金持股/氟化工概念/人民币贬值受益/锂电池概念,氟化工概念,74.11,61.94,73.45,87.12,102.6584,,0.04,28.07,78.76,51.23,28.79,78.91,17.38,below_signal
2026-05-15,"=""002759""",天际股份,2.1306,近期强势,家用电器/氟化工概念/锂电池概念/宁德时代概念/磷化工/钠离子电池/比亚迪概念/固态电池,氟化工概念,82.88,58.69,81.75,46.12,62.2904,,0.06,18.95,78.76,51.23,28.79,49.23,12.78,above_signal
