交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-19,"=""002384""",东山精密,短期强度Top20,电子-元件/共封装光学(CPO)/光纤概念/AI手机/MiniLED,MiniLED,94.82,0.67,2.48,1.98,1.98,86.43,67.22,27.89
2026-05-19,"=""603306""",华懋科技,短期强度Top20,光刻胶,光刻胶,93.72,28.44,8.43,36.06,36.06,80.27,73.39,26.48
2026-05-19,"=""603601""",再升科技,P9买入Top20,建筑材料-玻璃玻纤,建筑材料-玻璃玻纤,93.65,3.11,1.44,19.22,19.22,72.25,45.78,29.09
2026-05-19,"=""601869""",长飞光纤,短期强度Top20,共封装光学(CPO)/光纤概念/铜缆高速连接/通信-通信设备/第三代半导体/太赫兹/特高压,铜缆高速连接,91.94,18.63,10.77,8.91,8.91,97.93,69.67,29.87
2026-05-19,"=""600105""",永鼎股份,P9买入Top20,共封装光学(CPO)/光纤概念/通信-通信设备/超导概念,超导概念,91.16,8.1,10.51,1.57,1.57,92.24,59.93,28.95
2026-05-19,"=""002364""",中恒电气,P9买入Top20,电力设备-其他电源设备Ⅱ,电力设备-其他电源设备Ⅱ,90.67,39.61,4.38,10.98,12.5176,79.28,57.03,28.63
2026-05-19,"=""600487""",亨通光电,P9买入Top20,共封装光学(CPO)/光纤概念/太赫兹/柔性直流输电/6G概念/特高压,柔性直流输电,90.25,13.35,10.47,66.76,66.76,80.33,52.84,33.28
2026-05-19,"=""002980""",华盛昌,短期强度Top20,PM2.5/电力设备-电网设备,PM2.5,89.71,0.13,2.58,98.23,98.23,75.78,75.68,25.95
2026-05-19,"=""603256""",宏和科技,短期强度Top20,电子-电子化学品Ⅱ,电子-电子化学品Ⅱ,89.53,5.85,8.56,71.04,71.04,93.83,76.14,28.25
2026-05-19,"=""001309""",德明利,短期强度Top20,存储芯片/共封装光学(CPO)/中芯国际概念/电子-半导体,中芯国际概念,89.11,1.04,3.38,1.64,1.64,86.83,72.68,27.3
