交易日期,序号,板块类型,板块名称,板块代码,当日涨幅%,成交额加权涨幅%,上涨家数占比,长期主线指数,长期主线排名,短期主线指数,短期主线Top10排名,P9买入分,P9Top10排名,P9排名,入选原因,龙头编号,龙头名称,龙头详细,成员数,有效成员数
2026-05-18,1,概念,铜缆高速连接,886073,1.4945,2.8726,0.6429,97.93,1,69.67,,29.87,,15,长期主线,601869/600869/002792,长飞光纤/远东股份/通宇通讯,"[{""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 92.0, ""combined_leader_score"": 91.94, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600869"", ""name"": ""远东股份"", ""leader_score"": 78.74, ""combined_leader_score"": 78.46, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002792"", ""name"": ""通宇通讯"", ""leader_score"": 75.25, ""combined_leader_score"": 71.01, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/波段活跃候选""}]",14,14
2026-05-18,2,概念,新型烟草(电子烟),885899,-0.5259,-0.2331,0.3125,96.65,2,42.94,,27.36,,33,长期主线,603626/002975/002957,科森科技/博杰股份/科瑞技术,"[{""symbol"": ""603626"", ""name"": ""科森科技"", ""leader_score"": 85.94, ""combined_leader_score"": 81.52, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002975"", ""name"": ""博杰股份"", ""leader_score"": 80.07, ""combined_leader_score"": 77.22, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002957"", ""name"": ""科瑞技术"", ""leader_score"": 82.06, ""combined_leader_score"": 76.86, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",16,16
2026-05-18,3,概念,光纤概念,886084,1.2763,2.9396,0.6667,95.66,3,70.13,,31.62,,12,长期主线,600105/601869/002384,永鼎股份/长飞光纤/东山精密,"[{""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 90.36, ""combined_leader_score"": 87.9, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 89.31, ""combined_leader_score"": 85.25, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002384"", ""name"": ""东山精密"", ""leader_score"": 94.84, ""combined_leader_score"": 84.53, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",33,33
2026-05-18,4,行业,通信-通信设备,通信-通信设备,1.7074,4.063,0.6333,94.97,4,67.14,,34.38,4.0,4,长期主线/P9高买入分,601869/600105/002491,长飞光纤/永鼎股份/通鼎互联,"[{""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 90.83, ""combined_leader_score"": 87.16, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 93.34, ""combined_leader_score"": 83.66, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002491"", ""name"": ""通鼎互联"", ""leader_score"": 81.34, ""combined_leader_score"": 78.8, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",30,30
2026-05-18,5,行业,建筑装饰-装修装饰Ⅱ,建筑装饰-装修装饰Ⅱ,-1.7641,-5.6588,0.1667,94.36,5,35.26,,15.78,,161,长期主线,600234/605178/605289,科新发展/时空科技/罗曼股份,"[{""symbol"": ""600234"", ""name"": ""科新发展"", ""leader_score"": 95.04, ""combined_leader_score"": 83.72, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""605178"", ""name"": ""时空科技"", ""leader_score"": 82.03, ""combined_leader_score"": 79.41, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""605289"", ""name"": ""罗曼股份"", ""leader_score"": 80.64, ""combined_leader_score"": 79.3, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",12,12
2026-05-18,6,行业,电子-电子化学品Ⅱ,电子-电子化学品Ⅱ,2.8228,2.1558,0.5714,93.83,6,76.14,4.0,28.25,,23,长期主线/短期主线,603256/603115/600330,宏和科技/海星股份/天通股份,"[{""symbol"": ""603256"", ""name"": ""宏和科技"", ""leader_score"": 93.12, ""combined_leader_score"": 89.53, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""603115"", ""name"": ""海星股份"", ""leader_score"": 80.64, ""combined_leader_score"": 77.03, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600330"", ""name"": ""天通股份"", ""leader_score"": 78.76, ""combined_leader_score"": 74.04, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",7,7
2026-05-18,7,概念,共封装光学(CPO),886033,1.504,2.6596,0.6613,93.17,7,73.66,7.0,23.0,,91,长期主线/短期主线,600105/002384/601869,永鼎股份/东山精密/长飞光纤,"[{""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 91.23, ""combined_leader_score"": 84.26, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002384"", ""name"": ""东山精密"", ""leader_score"": 93.93, ""combined_leader_score"": 84.24, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 87.4, ""combined_leader_score"": 83.67, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",62,62
2026-05-18,8,概念,PET铜箔,886020,-0.4076,3.7875,0.35,92.25,8,49.37,,28.32,,22,长期主线,601208/600869/603773,东材科技/远东股份/沃格光电,"[{""symbol"": ""601208"", ""name"": ""东材科技"", ""leader_score"": 92.84, ""combined_leader_score"": 85.16, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""600869"", ""name"": ""远东股份"", ""leader_score"": 82.13, ""combined_leader_score"": 77.41, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""603773"", ""name"": ""沃格光电"", ""leader_score"": 76.32, ""combined_leader_score"": 71.96, ""leader_type"": ""swing"", ""leader_tags"": ""双重龙头/波段活跃候选""}]",20,20
2026-05-18,9,概念,超导概念,886038,1.0454,4.3551,0.5455,92.24,9,59.93,,28.95,,18,长期主线,600105/002149/000811,永鼎股份/西部材料/冰轮环境,"[{""symbol"": ""600105"", ""name"": ""永鼎股份"", ""leader_score"": 94.35, ""combined_leader_score"": 91.16, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002149"", ""name"": ""西部材料"", ""leader_score"": 88.08, ""combined_leader_score"": 87.28, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""000811"", ""name"": ""冰轮环境"", ""leader_score"": 78.5, ""combined_leader_score"": 77.53, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",22,22
2026-05-18,10,概念,第三代半导体,885908,0.1148,1.3273,0.5455,92.01,10,66.1,,24.8,,59,长期主线,601869/002428/002046,长飞光纤/云南锗业/国机精工,"[{""symbol"": ""601869"", ""name"": ""长飞光纤"", ""leader_score"": 89.93, ""combined_leader_score"": 85.0, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002428"", ""name"": ""云南锗业"", ""leader_score"": 83.9, ""combined_leader_score"": 80.87, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}, {""symbol"": ""002046"", ""name"": ""国机精工"", ""leader_score"": 82.58, ""combined_leader_score"": 78.39, ""leader_type"": ""long_term"", ""leader_tags"": ""双重龙头/长期核心候选/波段活跃候选""}]",44,44
