交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-15,"=""002903""",宇环数控,P9买入Top20,工业母机,工业母机,72.57,9.21,4.62,28.08,28.08,79.32,43.8,32.26
2026-05-15,"=""002371""",北方华创,短期强度Top20,电子-半导体/华为海思概念股,华为海思概念股,72.33,2.91,2.44,4.48,4.48,74.77,52.44,28.59
2026-05-15,"=""603311""",金海高科,短期强度Top20,PM2.5,PM2.5,72.03,10.31,41.41,99.63,102.3684,72.28,52.49,23.36
2026-05-15,"=""002938""",鹏鼎控股,P9买入Top20,电子-元件,电子-元件,71.86,10.45,3.65,13.92,13.92,84.92,47.37,37.39
2026-05-15,"=""002429""",兆驰股份,P9买入Top20,F5G概念,F5G概念,71.72,18.21,18.51,99.13,99.13,91.44,41.19,33.08
2026-05-15,"=""000988""",华工科技,短期强度Top20,机械设备-自动化设备,机械设备-自动化设备,71.6,5.46,10.01,65.6,65.6,73.17,80.84,30.28
2026-05-15,"=""002522""",浙江众成,短期强度Top20,PVDF概念,PVDF概念,71.53,3.45,18.81,53.98,53.98,69.1,51.98,29.36
2026-05-15,"=""600619""",海立股份,短期强度Top20,家用电器-家电零部件Ⅱ/光刻机,家用电器-家电零部件Ⅱ,71.36,30.97,23.94,39.39,39.5452,66.22,60.39,27.62
2026-05-15,"=""603316""",诚邦股份,短期强度Top20,存储芯片,存储芯片,71.24,47.61,10.11,94.95,97.7676,91.16,62.68,26.76
2026-05-15,"=""600111""",北方稀土,P9买入Top20,有色金属-小金属/稀土永磁,稀土永磁,71.01,18.95,41.04,29.35,31.9996,79.46,33.38,34.69
2026-05-15,"=""603078""",江化微,短期强度Top20,光刻胶,光刻胶,71.0,8.6,33.85,99.26,100.184,79.33,72.87,29.45
2026-05-15,"=""600577""",精达股份,P9买入Top20,铜缆高速连接,铜缆高速连接,70.94,19.35,15.33,4.25,4.25,96.16,49.68,35.02
2026-05-15,"=""002156""",通富微电,短期强度Top20,华为海思概念股,华为海思概念股,70.6,3.41,13.32,98.66,98.66,74.77,52.44,28.59
2026-05-15,"=""002645""",华宏科技,P9买入Top20,稀土永磁,稀土永磁,70.58,10.51,7.13,36.58,36.58,79.46,33.38,34.69
2026-05-15,"=""600392""",盛和资源,P9买入Top20,稀土永磁,稀土永磁,70.06,65.12,80.82,68.47,85.8924,79.46,33.38,34.69
2026-05-15,"=""002709""",天赐材料,短期强度Top20,PEEK材料/氟化工概念,氟化工概念,70.0,14.3,16.04,86.01,86.01,78.76,51.23,28.79
2026-05-15,"=""605488""",福莱新材,P9买入Top20,基础化工-塑料,基础化工-塑料,69.95,28.19,55.07,15.36,21.3768,91.08,45.86,32.57
2026-05-15,"=""002850""",科达利,短期强度Top20,PEEK材料,PEEK材料,69.38,11.88,23.47,68.14,68.14,90.14,53.14,31.67
2026-05-15,"=""000659""",珠海中富,P9买入Top20,轻工制造-包装印刷,轻工制造-包装印刷,68.28,70.04,73.12,24.33,41.0852,80.39,41.27,33.24
2026-05-15,"=""002409""",雅克科技,短期强度Top20,光刻胶,光刻胶,67.67,9.11,2.54,3.98,3.98,79.33,72.87,29.45
2026-05-15,"=""603507""",振江股份,P9买入Top20,电力设备-风电设备,电力设备-风电设备,67.43,45.93,12.59,26.57,29.1188,84.48,35.64,34.6
2026-05-15,"=""603659""",璞泰来,短期强度Top20,PVDF概念,PVDF概念,66.48,41.58,54.47,35.11,42.8356,69.1,51.98,29.36
2026-05-15,"=""603931""",格林达,短期强度Top20,光刻胶,光刻胶,65.91,11.85,5.83,2.28,2.28,79.33,72.87,29.45
2026-05-15,"=""002897""",意华股份,短期强度Top20,华为海思概念股,华为海思概念股,63.84,23.27,17.38,56.12,56.12,74.77,52.44,28.59
2026-05-15,"=""002130""",沃尔核材,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,63.58,74.66,80.65,15.13,34.1196,89.43,52.06,31.52
2026-05-15,"=""603360""",百傲化学,短期强度Top20,光刻机,光刻机,60.67,13.12,70.51,40.09,49.8124,82.51,53.36,29.71
2026-05-15,"=""002782""",可立克,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,60.66,14.53,1.84,32.8,32.8,89.43,52.06,31.52
2026-05-15,"=""603379""",三美股份,短期强度Top20,PVDF概念,PVDF概念,60.38,21.83,28.72,5.56,5.56,69.1,51.98,29.36
