trade_date,candidate_index,symbol,name,pattern_id,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,reason,tier,macd_top_divergence_15d,macd_bottom_divergence_15d,stable_score,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,macd,macd_signal_line,macd_hist,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,连续上榜天数,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,extension_above_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,pullback_max_volume,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,support_touch_date
2026-05-08,11,"=""002796""",世嘉科技,5,golden_cross,none,none,3.8098,6.48,54.9902,51.1805,66.4195,70.2293,高波动,"recent 10d high on 2026-04-23 at 62.78, MA20 touch on 2026-05-07, latest distance=-6.34%, vol5_20=0.91",第一梯队,False,False,6.3352,0.0823,1.1759,2026-04-23,62.78,8.0,-0.0634,0.0095,0.0967,0.0046,0.0348,0.9145,2026-05-07,-0.917,1.6554,1.4297,0.4514,,False,False,2026-05-08,58.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,12,"=""600388""",龙净环保,5,below_signal,none,none,0.6401,3.36,18.4199,17.7799,20.3401,20.9802,中等波动,"recent 10d high on 2026-04-22 at 19.93, MA20 touch on 2026-05-07, latest distance=-4.37%, vol5_20=0.95",第一梯队,False,False,5.9664,0.0094,0.6098,2026-04-22,19.93,9.0,-0.0437,0.0023,0.0186,0.0007,0.0154,0.9487,2026-05-07,-0.55,0.0718,0.0721,-0.0007,,False,False,2026-05-08,19.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,13,"=""001268""",联合精密,1,above_signal,bottom_divergence,none,1.8043,4.56,37.8057,36.0015,43.2185,45.0228,中等波动,"near old high 40.46 from 2023-09-18, distance=2.10%, drawdown=69.79%, vol20=0.96",第一梯队,False,True,5.9544,,0.9602,,,,,,,,,,,,2.027,1.4182,1.2176,2026-04-17,False,False,2026-05-08,39.61,1,2023-09-18,40.46,633.0,0.6979,0.021,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,14,"=""603966""",法兰泰克,1,below_signal,none,bullish,0.4844,3.35,13.9856,13.5013,15.4387,15.9231,中等波动,"near old high 14.72 from 2026-01-19, distance=1.70%, drawdown=25.88%, vol20=0.85",第一梯队,False,False,5.7665,,0.8504,,,,,,,,,,,,0.298,0.3239,-0.0517,,True,False,2026-05-08,14.47,2,2026-01-19,14.72,69.0,0.2588,0.017,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,15,"=""002397""",梦洁股份,1,above_signal,none,bullish,0.2374,4.3,5.2826,5.0452,5.9948,6.2322,中等波动,"near old high 5.65 from 2023-02-02, distance=2.30%, drawdown=69.20%, vol20=1.16",第一梯队,False,False,5.757,,1.1558,,,,,,,,,,,,0.2883,0.1693,0.238,,True,False,2026-05-08,5.52,1,2023-02-02,5.65,789.0,0.692,0.023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,16,"=""600815""",厦工股份,1,above_signal,none,bullish,0.2808,5.7,4.6492,4.3684,5.4916,5.7725,中等波动,"near old high 4.94 from 2018-06-21, distance=0.20%, drawdown=64.17%, vol20=1.08",第一梯队,False,False,5.743,,1.0812,,,,,,,,,,,,0.2587,0.1957,0.126,,True,False,2026-05-08,4.93,1,2018-06-21,4.94,1906.0,0.6417,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,17,"=""002628""",成都路桥,1,above_signal,none,none,0.2273,3.89,5.6127,5.3855,6.2945,6.5218,中等波动,"near old high 6.08 from 2025-07-22, distance=3.95%, drawdown=35.03%, vol20=0.97",第一梯队,False,False,4.9611,,0.968,,,,,,,,,,,,0.1512,0.1281,0.0461,,False,False,2026-05-08,5.84,1,2025-07-22,6.08,190.0,0.3503,0.0395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,18,"=""603319""",美湖股份,1,above_signal,none,none,1.6947,4.22,38.4453,36.7505,43.5295,45.2242,中等波动,"near old high 41.41 from 2026-01-27, distance=3.07%, drawdown=27.84%, vol20=1.33",第一梯队,False,False,4.9578,,1.3306,,,,,,,,,,,,1.3676,0.8482,1.0387,,False,False,2026-05-08,40.14,1,2026-01-27,41.41,63.0,0.2784,0.0307,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,19,"=""002443""",金洲管道,1,above_signal,none,none,0.5576,4.72,11.2524,10.6948,12.9252,13.4828,中等波动,"near old high 12.41 from 2016-10-26, distance=4.83%, drawdown=67.20%, vol20=1.04",第一梯队,False,False,4.9528,,1.0364,,,,,,,,,,,,0.755,0.6142,0.2816,,False,False,2026-05-08,11.81,1,2016-10-26,12.41,2253.0,0.672,0.0483,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,20,"=""600707""",彩虹股份,1,above_signal,none,none,0.5233,5.89,8.3567,7.8334,9.9266,10.4498,中等波动,"near old high 9.17 from 2025-01-21, distance=3.16%, drawdown=40.79%, vol20=1.46",第一梯队,False,False,4.9411,,1.4622,,,,,,,,,,,,0.6245,0.5821,0.0849,,False,False,2026-05-08,8.88,1,2025-01-21,9.17,309.0,0.4079,0.0316,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
