交易日期,编号,名称,涨幅%,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,Pattern,ATR%,建议仓位,长期主线指数,短期主线指数,P9买入分,P4五日均,P4五日std,macd
2026-05-18,"=""002563""",森马服饰,-1.3722,形态符合,,,,39.09,63.39,77.64,87.108,2,0.03,40.0,,,,86.26,7.17,dead_cross
2026-05-18,"=""601996""",丰林集团,-1.6393,形态符合,农业种植/土地流转/乡村振兴/创投,,,22.66,40.83,82.8,85.3992,2,0.06,20.26,,,,54.64,30.61,above_signal
2026-05-18,"=""600203""",福日电子,-0.2383,形态符合,国企改革/福建自贸区/海峡两岸/智慧灯杆/智能座舱/智能家居/抖音概念(字节概念)/小米概念/机器人概念/华为概念/MiniLED/无人机/柔性屏(折叠屏)/卫星导航/智能音箱/消费电子概念/汽车电子,MiniLED,63.97,55.82,67.54,70.05,83.1908,5,0.03,37.58,86.43,67.22,27.89,65.55,22.55,dead_cross
2026-05-18,"=""603158""",腾龙股份,-2.2603,形态符合,空气能热泵/汽车热管理/无线充电/氢能源/汽车-汽车零部件/燃料电池/智能座舱/华为汽车/长安汽车概念,,,29.12,29.59,77.61,77.61,5,0.05,22.43,,,,37.63,24.1,dead_cross
2026-05-18,"=""002439""",启明星辰,-0.4383,形态符合,,,,36.51,26.81,52.84,53.8816,5,0.04,30.98,,,,43.79,15.36,dead_cross
2026-05-18,"=""600768""",宁波富邦,2.2565,形态符合,共同富裕示范区/股权转让(并购重组)/电力设备-电网设备,电力设备-电网设备,60.32,66.67,40.73,29.25,37.6924,5,0.04,30.11,79.77,58.04,32.1,53.65,23.21,above_signal
2026-05-18,"=""002406""",远东传动,-0.949,形态符合,,,,31.09,25.74,35.68,35.8544,1,0.03,39.82,,,,27.82,6.6,above_signal
2026-05-18,"=""002952""",亚世光电,-2.2416,形态符合,,,,60.61,22.26,19.41,24.3076,1,0.05,21.74,,,,24.88,14.19,golden_cross
