交易日期,编号,名称,涨幅%,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,Pattern,ATR%,建议仓位,长期主线指数,短期主线指数,P9买入分,P4五日均,P4五日std,macd
2026-05-15,"=""600203""",福日电子,-1.0998,形态符合,国企改革/福建自贸区/智慧灯杆/海峡两岸/智能座舱/抖音概念(字节概念)/智能家居/小米概念/MiniLED/机器人概念/华为概念/柔性屏(折叠屏)/无人机/卫星导航/智能音箱/消费电子概念/汽车电子,,,45.97,66.52,90.33,101.65,5,0.03,36.85,,,,62.64,22.71,above_signal
2026-05-15,"=""002563""",森马服饰,0.0,形态符合,,,,52.83,75.43,79.75,94.306,2,0.03,40.0,,,,88.26,5.74,above_signal
2026-05-15,"=""001301""",尚太科技,0.7054,形态符合,石墨电极/回购增持再贷款概念/储能/京津冀一体化/锂电池概念/宁德时代概念,,,70.47,47.04,69.34,79.9048,5,0.05,26.04,,,,79.56,13.76,dead_cross
2026-05-15,"=""002755""",奥赛康,-0.2377,形态符合,流感/医药电商/仿制药一致性评价/创新药/幽门螺杆菌概念/医药生物-化学制药,,,54.13,63.81,53.28,65.2552,5,0.04,29.44,,,,72.08,19.02,above_signal
2026-05-15,"=""000301""",东方盛虹,-0.3063,形态符合,,,,92.47,40.78,46.45,55.042,5,0.03,33.72,,,,72.49,28.0,below_signal
2026-05-15,"=""600188""",兖矿能源,4.0846,形态符合,煤炭-煤炭开采,,,36.16,21.06,16.4,17.3856,5,0.05,24.33,,,,51.73,33.45,below_signal
