trade_date,candidate_index,symbol,name,pattern_id,phase1_score_100,phase2_score_100,phase4_score_100,phase4_5d_mean,phase4_5d_std,phase8_score_100,phase5_score_100,ATR%,建议总仓位%,macd_cross_state,macd_divergence_state,volume_price_divergence_state,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,macd,macd_signal_line,macd_hist,ATR14,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,波动分层,phase2_is_cusum_event,phase7_score_100,phase7_trade_permission,phase8_rank,reason,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,extension_above_old_high_pct,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_volume,pullback_max_rise_tail_volume_ratio,support_touch_date,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days,tier,stable_score,交易日期,收盘价,连续上榜天数
2026-05-13,11,"=""603332""",苏州龙杰,1,37.81,33.05,86.78,44.03,26.1,34.56,72.11,3.53,33.3,golden_cross,none,none,False,False,,False,False,0.2935,0.2739,0.0393,0.5218,14.2482,13.7264,15.8136,16.3354,中等波动,1.0,100.0,allow,1874.0,"near old high 15.52 from 2026-01-20, distance=4.83%, drawdown=25.90%, vol20=1.39",2026-01-20,15.52,71.0,0.259,0.0483,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.3647,2026-05-13,14.77,1
2026-05-13,12,"=""002686""",亿利达,1,13.46,12.83,13.96,37.23,17.08,41.37,32.25,4.35,27.07,golden_cross,none,none,False,False,,False,False,0.1371,0.12,0.0341,0.3538,7.7862,7.4323,8.8477,9.2015,中等波动,1.0,100.0,allow,1679.0,"near old high 8.50 from 2023-02-20, distance=4.24%, drawdown=56.51%, vol20=1.14",2023-02-20,8.5,780.0,0.5651,0.0424,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,5.3565,2026-05-13,8.14,1
2026-05-13,13,"=""001317""",三羊马,1,13.56,5.09,87.91,39.47,29.75,3.39,80.78,4.16,28.27,above_signal,none,none,False,False,,False,False,2.616,1.7379,1.7562,2.5183,58.0017,55.4834,65.5566,68.0749,中等波动,0.0,100.0,allow,2766.0,"near old high 62.92 from 2025-12-18, distance=3.81%, drawdown=32.20%, vol20=1.36",2025-12-18,62.92,92.0,0.322,0.0381,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9584,2026-05-13,60.52,1
2026-05-13,14,"=""603800""",洪田股份,1,10.92,7.0,74.92,26.82,26.19,1.89,44.28,4.81,24.47,above_signal,none,none,False,False,,False,False,3.8467,3.2108,1.2719,2.7693,54.8407,52.0713,63.1487,65.918,中等波动,0.0,100.0,allow,2809.0,"near old high 58.71 from 2025-12-25, distance=1.87%, drawdown=41.73%, vol20=1.29",2025-12-25,58.71,87.0,0.4173,0.0187,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9519,2026-05-13,57.61,1
2026-05-13,15,"=""603228""",景旺电子,1,9.18,4.59,12.72,48.96,26.12,21.21,64.44,4.99,23.58,above_signal,none,none,False,False,,False,False,4.0238,3.3337,1.3803,3.8979,74.2221,70.3242,85.9158,89.8136,中等波动,1.0,100.0,allow,2256.0,"near old high 81.56 from 2026-01-07, distance=4.22%, drawdown=34.18%, vol20=1.23",2026-01-07,81.56,80.0,0.3418,0.0422,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第一梯队,4.9501,2026-05-13,78.12,1
2026-05-13,16,"=""000906""",浙商中拓,2,13.8,16.14,26.95,43.06,30.26,38.78,42.27,3.07,38.36,above_signal,bottom_divergence,bullish,False,True,2026-04-21,True,False,0.2498,0.1703,0.1589,0.2098,6.6302,6.4204,7.2596,7.4693,中等波动,1.0,100.0,allow,1753.0,"price above old high 6.38 from 2025-11-14, post_breakout=9d, vol_ratio=1.27",2025-11-14,6.38,116.0,0.1677,-0.0721,2026-04-27,1.2689,0.8837,0.1163,0.3023,0.1054,low,0.0721,9.0,0.0792,,,,,,,,,,,,,,,,,,,,,,,,1.2097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,3.7693,2026-05-13,6.84,1
2026-05-13,17,"=""600150""",中国船舶,2,13.97,16.51,94.34,69.16,25.06,79.32,71.52,3.33,35.34,above_signal,none,bullish,False,False,,True,False,2.0822,1.8221,0.5203,1.3907,40.3793,38.9885,44.5515,45.9422,中等波动,1.0,100.0,allow,593.0,"price above old high 40.98 from 2025-08-19, post_breakout=8d, vol_ratio=1.09",2025-08-19,40.98,173.0,0.2679,-0.0193,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,0.0193,8.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,1.0997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,2.7667,2026-05-13,41.77,2
2026-05-13,18,"=""002768""",国恩股份,2,26.09,9.78,83.73,60.27,32.06,15.69,81.48,3.76,31.29,above_signal,none,none,False,False,,False,False,2.6288,1.576,2.1057,2.3219,59.4381,57.1161,66.4039,68.7258,中等波动,0.0,100.0,allow,2414.0,"price above old high 60.98 from 2026-01-27, post_breakout=2d, vol_ratio=1.30",2026-01-27,60.98,66.0,0.2748,-0.0128,2026-05-11,1.3047,0.8072,0.1928,0.6992,0.0567,low,0.0128,2.0,0.037,,,,,,,,,,,,,,,,,,,,,,,,1.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9624,2026-05-13,61.76,2
2026-05-13,19,"=""001313""",粤海饲料,2,6.56,12.16,98.76,47.38,38.51,0.0,70.28,4.88,24.12,above_signal,none,none,False,False,,False,False,0.3388,0.2952,0.0872,0.4633,9.0367,8.5733,10.4267,10.89,中等波动,1.0,100.0,allow,,"price above old high 9.25 from 2025-12-08, post_breakout=3d, vol_ratio=1.17",2025-12-08,9.25,100.0,0.3049,-0.027,2026-05-08,1.1734,0.8023,0.1977,0.7674,0.0601,low,0.027,3.0,0.0386,,,,,,,,,,,,,,,,,,,,,,,,1.9777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.9512,2026-05-13,9.5,1
2026-05-13,20,"=""601996""",丰林集团,2,11.69,6.7,42.62,56.72,26.87,10.55,66.76,5.0,23.54,above_signal,none,none,False,False,,False,False,0.1483,0.1099,0.0768,0.1519,2.8881,2.7361,3.3439,3.4958,中等波动,0.0,100.0,allow,2561.0,"price above old high 2.85 from 2025-11-17, post_breakout=4d, vol_ratio=1.27",2025-11-17,2.85,115.0,0.2316,-0.0667,2026-05-07,1.2734,1.0,0.0,0.8966,0.1091,low,0.0667,4.0,0.039,,,,,,,,,,,,,,,,,,,,,,,,1.0747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第三梯队,1.95,2026-05-13,3.04,1
2026-05-13,21,"=""603222""",济民健康,4,61.32,24.41,77.4,57.71,19.85,81.41,66.24,4.84,24.31,golden_cross,none,none,False,False,,False,False,0.1393,0.1339,0.0109,0.4984,9.8016,9.3032,11.2968,11.7952,中等波动,0.0,100.0,allow,533.0,"duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.41",,,,,,,,,,,,,,,,2026-04-07,11.52,23.0,2026-02-24,0.2915,0.3714,2026-04-28,9.13,0.2075,2026-05-08,3.0,5.0,0.0125,0.0298,0.6086,-0.1059,0.4098,0.5887,0.994,0.0,0.0327,2.4259,,0.6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81460579.0,,,,,,,,第三梯队,1.3516,2026-05-13,10.3,1
2026-05-13,22,"=""605162""",新中港,6,50.67,18.96,43.96,58.59,28.59,54.72,68.6,6.25,18.83,below_signal,bottom_divergence,none,False,True,2026-04-20,False,False,-0.111,0.037,-0.296,0.7529,11.2971,10.5443,13.5557,14.3086,高波动,1.0,100.0,allow,1297.0,"double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",,,,,,,,,,,,,,,,,,,,,,2026-04-30,11.09,0.2836,,,,,,,,,0.4339,,,,,,0.9557,,,,,,,,,,,,break_reclaim,2026-03-31,11.61,11.61,1.1209,1.6448,2026-04-08,15.48,0.3333,2026-04-08,15.48,0.3333,5.0,0.8345,37970096.1818,16474055.0909,62073972.6667,51978014.0,0.8374,,2026-05-06,0.3736,2026-05-07,1.0,4.0,第二梯队,4.9375,2026-05-13,12.05,4
2026-05-13,23,"=""605298""",必得科技,6,22.91,29.3,88.18,72.19,25.28,10.62,76.46,4.74,24.82,below_signal,none,none,False,False,,False,False,2.1703,2.7981,-1.2555,2.6833,53.9167,51.2334,61.9666,64.65,中等波动,0.0,100.0,allow,2559.0,"double-volume support hold: anchor=2026-04-17 close=54.75, peak=65.00 on 2026-04-23, launch=18.72%, limit_up_like=2, pullback=15.97%, vol_back/front=0.58, pullback_max/rise_tail=1.00, touch=2026-05-13",,,,,,,,,,,,,,,,,,,,,,2026-05-13,54.62,0.1597,,,,,,,,,0.5753,,,,,,0.6012,,,,,,,,,,,,support_hold,2026-04-17,54.75,54.75,1.3196,1.8433,2026-04-23,65.0,0.1872,2026-04-23,65.0,0.1872,2.0,0.7436,3401296.8,1956604.6667,5103046.6667,5104351.0,1.0003,2026-05-13,,,,,,第二梯队,3.9526,2026-05-13,56.6,2
2026-05-13,24,"=""603390""",通达电气,3,17.88,36.91,50.52,25.25,16.64,63.35,56.49,3.33,35.31,above_signal,none,bullish,False,False,,True,False,0.4874,0.4433,0.0882,0.4591,13.3209,12.8618,14.6982,15.1574,中等波动,0.0,100.0,allow,1050.0,"post breakout 10d from 2026-04-24, below old high 13.88, vol_ratio=1.69",2026-01-06,13.88,81.0,0.2205,0.0072,2026-04-24,1.6934,1.0,0.0,0.9785,0.1455,low,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.8372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,第二梯队,3.7667,2026-05-13,13.78,1
