trade_date,candidate_index,symbol,name,pattern_id,macd_cross_state,macd_divergence_state,volume_price_divergence_state,ATR14,ATR%,1ATR止损参考,2ATR止损参考,2ATR止盈参考,3ATR止盈参考,建议总仓位%,波动分层,reason,tier,macd_top_divergence_15d,macd_bottom_divergence_15d,stable_score,distance_to_ma20,volume_ratio_20,recent_high_date,recent_high_price,days_since_recent_high,distance_from_recent_high_pct,ma20_slope_short_pct,ma20_slope_long_pct,ma60_slope_short_pct,ma60_slope_long_pct,pullback_volume_contraction_ratio,ma20_touch_date,ma20_touch_distance,macd,macd_signal_line,macd_hist,macd_bottom_divergence_signal_date,bullish_volume_price_divergence_flag,bearish_volume_price_divergence_flag,交易日期,收盘价,连续上榜天数,old_high_date,old_high_price,days_since_old_high,max_drawdown_since_old_high,distance_to_old_high_pct,extension_above_old_high_pct,breakout_date,breakout_volume_ratio,breakout_close_position,breakout_upper_shadow_pct,breakout_body_pct,breakout_turnover,breakout_turnover_state,days_after_breakout,post_breakout_max_high_extension_pct,duck_peak_date,duck_peak_price,days_since_duck_peak,neck_start_date,neck_return_pct,neck_low_to_peak_return_pct,pullback_low_date,pullback_low_price,peak_to_pullback_drawdown_pct,nostril_cross_date,days_since_nostril_cross,cross_after_pullback_low_days,nostril_cross_ma5_ma10_gap_pct,latest_ma5_ma10_gap_pct,nostril_volume_ma20_ratio,distance_to_duck_peak_pct,pullback_volume_peak_tail_ratio,pullback_back_half_volume_ratio,pullback_max_single_day_peak_tail_ratio,large_bearish_count,max_bearish_body_pct,max_bearish_volume_ratio,pullback_max_volume,pattern6_branch,anchor_date,anchor_close,support_price,anchor_volume_ratio_prev,anchor_volume_ratio_ma20,launch_confirm_high_date,launch_confirm_high_price,launch_confirm_return_pct,peak_date,peak_price,anchor_to_peak_return_pct,limit_up_like_count,pullback_volume_ratio_to_anchor,pullback_front_half_avg_volume,pullback_back_half_avg_volume,rise_tail_avg_volume,pullback_max_rise_tail_volume_ratio,breakdown_date,breakdown_volume_ratio_to_anchor,reclaim_date,days_to_reclaim,post_reclaim_days
2026-05-11,11,"=""000790""",华神科技,1,above_signal,none,none,0.1802,3.92,4.4198,4.2396,4.9604,5.1406,30.03,中等波动,"near old high 4.79 from 2025-11-18, distance=3.97%, drawdown=25.89%, vol20=1.41",第一梯队,False,False,4.9608,,1.4143,,,,,,,,,,,,0.1128,0.0488,0.1279,,False,False,2026-05-11,4.6,1,2025-11-18,4.79,112.0,0.2589,0.0397,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,12,"=""600641""",先导基电,1,above_signal,none,none,1.3182,4.48,28.0918,26.7735,32.0465,33.3647,26.25,中等波动,"near old high 30.15 from 2022-08-08, distance=2.45%, drawdown=69.86%, vol20=1.27",第一梯队,False,False,4.9552,,1.2664,,,,,,,,,,,,2.2668,2.0659,0.4017,,False,False,2026-05-11,29.41,1,2022-08-08,30.15,906.0,0.6986,0.0245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,13,"=""002443""",金洲管道,1,above_signal,none,none,0.5435,4.53,11.4565,10.913,13.087,13.6305,25.98,中等波动,"near old high 12.41 from 2016-10-26, distance=3.30%, drawdown=67.20%, vol20=0.81",第一梯队,False,False,4.9547,,0.8118,,,,,,,,,,,,0.7686,0.6451,0.2471,,False,False,2026-05-11,12.0,2,2016-10-26,12.41,2254.0,0.672,0.033,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,14,"=""002952""",亚世光电,1,above_signal,none,none,1.3859,4.76,27.7241,26.3382,31.8818,33.2677,24.71,中等波动,"near old high 29.63 from 2024-12-30, distance=1.74%, drawdown=52.39%, vol20=1.15",第一梯队,False,False,4.9524,,1.1463,,,,,,,,,,,,0.9363,0.8002,0.2721,,False,False,2026-05-11,29.11,1,2024-12-30,29.6266,325.0,0.5239,0.0174,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,15,"=""000906""",浙商中拓,2,above_signal,bottom_divergence,none,0.1997,2.94,6.6003,6.4005,7.1995,7.3992,40.0,低波动,"price above old high 6.38 from 2025-11-14, post_breakout=7d, vol_ratio=1.27",第三梯队,False,True,2.9706,,1.139,,,,,,,,,,,,0.2262,0.1297,0.193,2026-04-21,False,False,2026-05-11,6.8,1,2025-11-14,6.38,114.0,0.1677,-0.0658,0.0658,2026-04-27,1.2689,0.8837,0.1163,0.3023,0.1054,low,7.0,0.0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,16,"=""600150""",中国船舶,2,above_signal,none,none,1.363,3.31,39.817,38.4539,43.9061,45.2691,35.54,中等波动,"price above old high 40.98 from 2025-08-19, post_breakout=6d, vol_ratio=1.09",第三梯队,False,False,1.9669,,0.8974,,,,,,,,,,,,2.1424,1.68,0.9248,,False,False,2026-05-11,41.18,1,2025-08-19,40.98,171.0,0.2679,-0.0049,0.0049,2026-04-28,1.0865,0.8077,0.1923,0.7722,0.0433,low,6.0,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,17,"=""002979""",雷赛智能,2,above_signal,none,none,1.792,3.32,52.118,50.326,57.494,59.286,35.39,中等波动,"price above old high 46.44 from 2026-01-12, post_breakout=1d, vol_ratio=2.02",第三梯队,False,False,1.9668,,5.2708,,,,,,,,,,,,2.8086,1.7409,2.1356,,False,False,2026-05-11,53.91,1,2026-01-12,46.44,75.0,0.261,-0.1609,0.1609,2026-05-08,2.023,1.0,0.0,1.0,0.147,low,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,18,"=""603390""",通达电气,2,above_signal,none,none,0.4825,3.44,13.5575,13.0749,15.0051,15.4876,34.23,中等波动,"price above old high 13.88 from 2026-01-06, post_breakout=8d, vol_ratio=1.69",第三梯队,False,False,1.9656,,1.2993,,,,,,,,,,,,0.5312,0.4132,0.2359,,False,False,2026-05-11,14.04,1,2026-01-06,13.88,79.0,0.2205,-0.0115,0.0115,2026-04-24,1.6934,1.0,0.0,0.9785,0.1455,low,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,19,"=""600790""",轻纺城,2,above_signal,none,none,0.1682,3.56,4.5618,4.3937,5.0663,5.2345,33.08,中等波动,"price above old high 4.35 from 2025-04-24, post_breakout=3d, vol_ratio=1.18",第三梯队,False,False,1.9644,,2.2922,,,,,,,,,,,,0.2414,0.1222,0.2384,,False,False,2026-05-11,4.73,1,2025-04-24,4.3479,250.0,0.2165,-0.0879,0.0879,2026-05-06,1.175,1.0,0.0,0.9318,0.0413,low,3.0,0.0866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,20,"=""003022""",联泓新科,2,above_signal,none,none,1.0241,4.09,24.0259,23.0019,27.0981,28.1222,28.78,中等波动,"price above old high 23.89 from 2025-09-12, post_breakout=9d, vol_ratio=1.48",第三梯队,False,False,1.9591,,1.4818,,,,,,,,,,,,1.1063,1.0433,0.126,,False,False,2026-05-11,25.05,2,2025-09-12,23.89,153.0,0.2453,-0.0486,0.0486,2026-04-23,1.4798,1.0,0.0,1.0,0.0292,low,9.0,0.0468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,21,"=""601996""",丰林集团,2,above_signal,none,none,0.1521,4.86,2.9779,2.8257,3.4343,3.5864,24.21,中等波动,"price above old high 2.85 from 2025-11-17, post_breakout=2d, vol_ratio=1.27",第三梯队,False,False,1.9514,,1.5296,,,,,,,,,,,,0.1409,0.0887,0.1044,,False,False,2026-05-11,3.13,1,2025-11-17,2.85,113.0,0.2316,-0.0982,0.0982,2026-05-07,1.2734,1.0,0.0,0.8966,0.1091,low,2.0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,22,"=""601512""",中新集团,2,above_signal,none,none,0.5231,4.89,10.1669,9.6437,11.7363,12.2594,24.04,中等波动,"price above old high 10.34 from 2026-01-12, post_breakout=9d, vol_ratio=1.17",第三梯队,False,False,1.9511,,1.6568,,,,,,,,,,,,0.4176,0.3376,0.1599,,False,False,2026-05-11,10.69,1,2026-01-12,10.34,75.0,0.2021,-0.0338,0.0338,2026-04-23,1.175,1.0,0.0,1.0,0.0255,low,9.0,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,23,"=""600961""",株冶集团,2,above_signal,none,none,1.5994,5.27,28.7506,27.1513,33.5487,35.1481,22.32,中等波动,"price above old high 27.48 from 2026-01-29, post_breakout=10d, vol_ratio=2.77",第三梯队,False,False,1.9473,,1.2738,,,,,,,,,,,,2.6831,2.3333,0.6996,,False,False,2026-05-11,30.35,1,2026-01-29,27.48,62.0,0.4192,-0.1044,0.1044,2026-04-22,2.7709,0.8836,0.1164,0.746,0.2632,low,10.0,0.0795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,24,"=""603222""",济民健康,4,below_signal,none,bullish,0.5133,5.07,9.6067,9.0934,11.1466,11.6598,23.19,中等波动,"duck peak 2026-04-07 at 11.52, neck=29.15%, pullback=20.75%, cross=2026-05-08, vol/pk_tail=0.42",第三梯队,False,False,1.7493,,0.9011,,,,,,,,,,,,0.1102,0.1328,-0.0452,,True,False,2026-05-11,10.12,2,,,,,,,,,,,,,,,,2026-04-07,11.52,21.0,2026-02-24,0.2915,0.3714,2026-04-28,9.13,0.2075,2026-05-08,1.0,5.0,0.0125,0.0256,0.6086,-0.1215,0.4229,0.5471,0.994,0.0,0.0327,2.3505,81460579.0,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11,25,"=""605162""",新中港,6,below_signal,bottom_divergence,none,0.7821,6.7,10.8979,10.1157,13.2443,14.0264,17.57,高波动,"double-volume break reclaim: anchor=2026-03-31 support=11.61, peak=15.48 on 2026-04-08, launch=33.33%, limit_up_like=5, pullback_max/rise_tail=0.84, broke=2026-05-06 vol_ratio=0.37, reclaimed=2026-05-07 in 1d",第二梯队,False,True,4.933,,0.4779,,,,,,,,,,,,-0.1167,0.124,-0.4814,2026-04-20,False,False,2026-05-11,11.68,2,,,,,,,,,,,,,,,,,,,,,,2026-04-30,11.09,0.2836,,,,,,,,,0.4613,,,,,51978014.0,break_reclaim,2026-03-31,11.61,11.61,1.1209,1.6448,2026-04-08,15.48,0.3333,2026-04-08,15.48,0.3333,5.0,0.8595,38374296.6,17701670.9,62073972.6667,0.8374,2026-05-06,0.3736,2026-05-07,1.0,2.0
