交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-18,"=""600330""",天通股份,短期强度Top20,电子-电子化学品Ⅱ/第三代半导体/先进封装/OLED,OLED,80.48,11.69,6.1,9.14,9.14,85.42,54.93,28.66
2026-05-18,"=""002436""",兴森科技,短期强度Top20,存储芯片/先进封装,先进封装,80.21,10.58,5.79,23.21,23.21,88.11,56.2,27.91
2026-05-18,"=""603978""",深圳新星,短期强度Top20,PVDF概念,PVDF概念,79.97,7.57,3.58,88.88,88.88,69.1,51.98,29.36
2026-05-18,"=""002979""",雷赛智能,短期强度Top20,机械设备-自动化设备/富士康概念,机械设备-自动化设备,79.44,1.91,5.39,6.83,6.83,73.17,80.84,30.28
2026-05-18,"=""000062""",深圳华强,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,79.4,11.86,18.62,93.67,93.67,89.43,52.06,31.52
2026-05-18,"=""603052""",可川科技,短期强度Top20,OLED,OLED,78.54,2.51,1.91,34.13,34.13,85.42,54.93,28.66
2026-05-18,"=""003031""",中瓷电子,短期强度Top20,光刻机/华为海思概念股,华为海思概念股,78.53,0.54,1.44,0.64,0.64,74.77,52.44,28.59
2026-05-18,"=""603773""",沃格光电,短期强度Top20,光刻机,光刻机,78.31,32.15,0.03,,,82.51,53.36,29.71
2026-05-18,"=""600498""",烽火通信,P9买入Top20,WiFi 6/6G概念/特高压/F5G概念,特高压,78.3,73.61,17.41,75.08,82.0576,85.66,36.4,34.13
2026-05-18,"=""002885""",京泉华,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,78.18,6.33,2.85,4.32,4.32,89.43,52.06,31.52
2026-05-18,"=""601126""",四方股份,P9买入Top20,柔性直流输电/电力设备-电网设备,柔性直流输电,77.97,11.09,2.98,18.08,18.08,79.73,32.79,37.64
2026-05-18,"=""002842""",翔鹭钨业,P9买入Top20,有色金属-小金属,有色金属-小金属,77.87,86.44,70.13,55.43,72.0308,82.79,12.44,41.34
2026-05-18,"=""002792""",通宇通讯,P9买入Top20,WiFi 6/铜缆高速连接/F5G概念,F5G概念,77.74,21.53,37.54,85.0,86.8096,91.44,41.19,33.08
2026-05-18,"=""600259""",中稀有色,P9买入Top20,有色金属-小金属/稀土永磁,稀土永磁,77.64,24.95,34.16,82.25,83.2484,79.46,33.38,34.69
2026-05-18,"=""000973""",佛塑科技,P9买入Top20,基础化工-塑料,基础化工-塑料,77.41,19.16,39.85,72.61,74.974,91.08,45.86,32.57
2026-05-18,"=""603115""",海星股份,短期强度Top20,电子-电子化学品Ⅱ,电子-电子化学品Ⅱ,77.22,0.7,19.26,6.16,6.16,93.61,65.97,30.53
2026-05-18,"=""603203""",快克智能,短期强度Top20,机械设备-自动化设备/中芯国际概念/富士康概念,机械设备-自动化设备,77.22,0.84,2.41,50.4,50.4,73.17,80.84,30.28
2026-05-18,"=""002378""",章源钨业,P9买入Top20,工业母机,工业母机,77.16,95.91,77.8,42.46,59.3864,79.32,43.8,32.26
2026-05-18,"=""000962""",东方钽业,P9买入Top20,超导概念/3D打印,3D打印,77.15,32.69,25.95,98.89,99.3204,73.62,40.84,32.56
2026-05-18,"=""603063""",禾望电气,P9买入Top20,电力设备-风电设备,电力设备-风电设备,77.11,2.98,4.79,89.95,89.95,84.48,35.64,34.6
2026-05-18,"=""002281""",光迅科技,P9买入Top20,通信-通信设备,通信-通信设备,76.87,0.4,2.38,6.87,6.87,93.97,39.27,32.36
2026-05-18,"=""600118""",中国卫星,P9买入Top20,6G概念,6G概念,76.82,17.78,56.5,98.36,104.72,88.68,33.77,34.75
2026-05-18,"=""002957""",科瑞技术,短期强度Top20,机械设备-自动化设备/新型烟草(电子烟),新型烟草(电子烟),76.71,26.72,4.22,2.78,2.78,97.15,51.52,30.84
2026-05-18,"=""002402""",和而泰,短期强度Top20,华为海思概念股,华为海思概念股,76.68,47.32,59.21,62.09,71.8716,74.77,52.44,28.59
2026-05-18,"=""002787""",华源控股,P9买入Top20,轻工制造-包装印刷,轻工制造-包装印刷,76.19,3.28,3.25,6.36,6.36,80.39,41.27,33.24
2026-05-18,"=""603061""",金海通,短期强度Top20,电子-半导体,电子-半导体,76.06,99.77,61.09,81.82,94.1184,82.41,69.62,31.01
2026-05-18,"=""002050""",三花智控,短期强度Top20,家用电器-家电零部件Ⅱ,家用电器-家电零部件Ⅱ,76.02,16.51,6.93,58.0,58.0,66.22,60.39,27.62
2026-05-18,"=""002213""",大为股份,P9买入Top20,电子-半导体/WiFi 6,WiFi 6,75.82,16.98,9.44,22.2,22.2,89.33,32.52,35.82
2026-05-18,"=""601138""",工业富联,P9买入Top20,英伟达概念,英伟达概念,75.73,3.11,5.32,4.76,4.76,86.27,43.54,31.93
2026-05-18,"=""002655""",共达电声,短期强度Top20,新型烟草(电子烟),新型烟草(电子烟),75.54,0.47,6.73,62.19,62.19,97.15,51.52,30.84
2026-05-18,"=""002448""",中原内配,P9买入Top20,工业母机,工业母机,75.49,48.86,88.31,68.18,81.2032,79.32,43.8,32.26
2026-05-18,"=""002418""",康盛股份,短期强度Top20,家用电器-家电零部件Ⅱ,家用电器-家电零部件Ⅱ,75.44,31.31,13.36,97.29,97.4996,66.22,60.39,27.62
2026-05-18,"=""002636""",金安国纪,P9买入Top20,电子-元件,电子-元件,75.38,35.47,10.72,3.48,4.3552,84.92,47.37,37.39
2026-05-18,"=""600353""",旭光电子,短期强度Top20,光刻机/电子-其他电子Ⅱ/柔性直流输电,光刻机,75.29,9.31,2.75,87.64,87.64,82.51,53.36,29.71
2026-05-18,"=""603045""",福达合金,P9买入Top20,电力设备-电网设备,电力设备-电网设备,75.12,0.27,0.44,50.03,50.03,79.27,34.85,34.26
2026-05-18,"=""603002""",宏昌电子,短期强度Top20,电子-电子化学品Ⅱ/先进封装/3D打印,先进封装,74.91,18.45,6.26,79.87,79.87,88.11,56.2,27.91
2026-05-18,"=""002080""",中材科技,P9买入Top20,6G概念,6G概念,74.89,13.6,2.65,13.97,13.97,88.68,33.77,34.75
2026-05-18,"=""603150""",万朗磁塑,短期强度Top20,家用电器-家电零部件Ⅱ,家用电器-家电零部件Ⅱ,74.53,53.78,17.08,11.69,15.4948,66.22,60.39,27.62
2026-05-18,"=""603228""",景旺电子,P9买入Top20,6G概念/英伟达概念,英伟达概念,74.48,16.31,16.68,95.14,95.14,86.27,43.54,31.93
2026-05-18,"=""600522""",中天科技,P9买入Top20,柔性直流输电/铜缆高速连接,柔性直流输电,74.28,7.77,7.23,95.24,95.24,79.73,32.79,37.64
2026-05-18,"=""600176""",中国巨石,短期强度Top20,PEEK材料,PEEK材料,74.25,23.11,11.86,97.92,97.92,90.14,53.14,31.67
2026-05-18,"=""002250""",联化科技,短期强度Top20,氟化工概念,氟化工概念,74.11,33.72,63.4,39.25,47.8612,78.76,51.23,28.79
2026-05-18,"=""600076""",康欣新材,P9买入Top20,轻工制造-包装印刷,轻工制造-包装印刷,73.44,0.74,1.17,54.22,54.22,80.39,41.27,33.24
2026-05-18,"=""600206""",有研新材,P9买入Top20,中芯国际概念/电子-半导体/稀土永磁,稀土永磁,73.42,10.08,6.06,65.61,65.61,79.46,33.38,34.69
2026-05-18,"=""000551""",创元科技,短期强度Top20,PM2.5,PM2.5,73.4,16.04,4.99,97.25,97.25,72.28,52.49,23.36
2026-05-18,"=""603319""",美湖股份,短期强度Top20,PEEK材料,PEEK材料,73.38,7.87,63.26,52.14,60.1224,90.14,53.14,31.67
2026-05-18,"=""601231""",环旭电子,P9买入Top20,WiFi 6,WiFi 6,72.87,71.47,89.62,36.74,53.0664,89.33,32.52,35.82
2026-05-18,"=""002903""",宇环数控,P9买入Top20,工业母机,工业母机,72.57,5.59,5.49,94.68,94.68,79.32,43.8,32.26
2026-05-18,"=""002371""",北方华创,短期强度Top20,电子-半导体/华为海思概念股,华为海思概念股,72.33,9.38,3.88,94.24,94.24,74.77,52.44,28.59
2026-05-18,"=""603311""",金海高科,短期强度Top20,PM2.5,PM2.5,72.03,3.92,18.05,0.3,0.3,72.28,52.49,23.36
2026-05-18,"=""002938""",鹏鼎控股,P9买入Top20,电子-元件,电子-元件,71.86,1.34,1.07,0.37,0.37,84.92,47.37,37.39
2026-05-18,"=""002429""",兆驰股份,P9买入Top20,F5G概念,F5G概念,71.72,65.27,18.15,98.76,104.4032,91.44,41.19,33.08
2026-05-18,"=""000988""",华工科技,短期强度Top20,机械设备-自动化设备,机械设备-自动化设备,71.6,15.41,54.96,96.35,102.3404,73.17,80.84,30.28
2026-05-18,"=""002522""",浙江众成,短期强度Top20,PVDF概念,PVDF概念,71.53,12.06,28.4,61.29,61.29,69.1,51.98,29.36
2026-05-18,"=""600619""",海立股份,短期强度Top20,家用电器-家电零部件Ⅱ/光刻机,家用电器-家电零部件Ⅱ,71.36,60.52,45.95,71.73,80.4412,66.22,60.39,27.62
2026-05-18,"=""603316""",诚邦股份,短期强度Top20,存储芯片,存储芯片,71.24,38.08,46.99,99.87,105.2404,91.16,62.68,26.76
2026-05-18,"=""600111""",北方稀土,P9买入Top20,有色金属-小金属/稀土永磁,稀土永磁,71.01,28.73,69.26,88.01,97.4324,79.46,33.38,34.69
2026-05-18,"=""603078""",江化微,短期强度Top20,光刻胶,光刻胶,71.0,1.64,1.54,3.22,3.22,79.33,72.87,29.45
2026-05-18,"=""600577""",精达股份,P9买入Top20,铜缆高速连接,铜缆高速连接,70.94,61.69,17.31,88.68,93.7504,96.16,49.68,35.02
2026-05-18,"=""002156""",通富微电,短期强度Top20,华为海思概念股,华为海思概念股,70.6,9.28,9.28,94.84,94.84,74.77,52.44,28.59
2026-05-18,"=""002645""",华宏科技,P9买入Top20,稀土永磁,稀土永磁,70.58,7.07,10.08,90.59,90.59,79.46,33.38,34.69
2026-05-18,"=""600392""",盛和资源,P9买入Top20,稀土永磁,稀土永磁,70.06,70.03,81.65,94.37,112.3788,79.46,33.38,34.69
2026-05-18,"=""002709""",天赐材料,短期强度Top20,PEEK材料/氟化工概念,氟化工概念,70.0,7.1,16.31,80.51,80.51,78.76,51.23,28.79
2026-05-18,"=""605488""",福莱新材,P9买入Top20,基础化工-塑料,基础化工-塑料,69.95,63.36,79.24,40.56,57.7152,91.08,45.86,32.57
2026-05-18,"=""002850""",科达利,短期强度Top20,PEEK材料,PEEK材料,69.38,14.84,15.77,36.91,36.91,90.14,53.14,31.67
2026-05-18,"=""000659""",珠海中富,P9买入Top20,轻工制造-包装印刷,轻工制造-包装印刷,68.28,72.61,61.55,25.52,39.9096,80.39,41.27,33.24
2026-05-18,"=""002409""",雅克科技,短期强度Top20,光刻胶,光刻胶,67.67,26.09,31.78,92.23,92.6572,79.33,72.87,29.45
2026-05-18,"=""603507""",振江股份,P9买入Top20,电力设备-风电设备,电力设备-风电设备,67.43,34.53,8.17,81.98,82.7048,84.48,35.64,34.6
2026-05-18,"=""603659""",璞泰来,短期强度Top20,PVDF概念,PVDF概念,66.48,32.99,35.37,47.89,49.6572,69.1,51.98,29.36
2026-05-18,"=""603931""",格林达,短期强度Top20,光刻胶,光刻胶,65.91,13.36,4.92,43.17,43.17,79.33,72.87,29.45
2026-05-18,"=""002897""",意华股份,短期强度Top20,华为海思概念股,华为海思概念股,63.84,32.12,23.44,18.35,18.6892,74.77,52.44,28.59
2026-05-18,"=""002130""",沃尔核材,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,63.58,43.87,67.95,70.03,81.3572,89.43,52.06,31.52
2026-05-18,"=""603360""",百傲化学,短期强度Top20,光刻机,光刻机,60.67,65.24,91.76,64.57,79.386,82.51,53.36,29.71
2026-05-18,"=""002782""",可立克,短期强度Top20,电子-其他电子Ⅱ,电子-其他电子Ⅱ,60.66,44.78,4.72,64.97,67.3348,89.43,52.06,31.52
2026-05-18,"=""603379""",三美股份,短期强度Top20,PVDF概念,PVDF概念,60.38,6.93,17.28,19.06,19.06,69.1,51.98,29.36
