交易日期,编号,名称,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,长期主线指数,短期主线指数,P9买入分
2026-05-18,"=""600105""",永鼎股份,P9买入Top20,共封装光学(CPO)/超导概念/3D打印/光纤概念/通信-通信设备,3D打印,92.22,16.21,7.07,8.64,8.64,73.62,40.84,32.56
2026-05-18,"=""600487""",亨通光电,P9买入Top20,共封装光学(CPO)/柔性直流输电/6G概念/特高压/F5G概念/光纤概念/通信-通信设备,柔性直流输电,91.92,24.28,7.74,78.0,78.0,79.73,32.79,37.64
2026-05-18,"=""002290""",禾盛新材,短期强度Top20,家用电器-家电零部件Ⅱ,家用电器-家电零部件Ⅱ,91.78,5.56,7.77,32.55,32.55,66.22,60.39,27.62
2026-05-18,"=""601869""",长飞光纤,P9买入Top20,第三代半导体/共封装光学(CPO)/铜缆高速连接/特高压/光纤概念/通信-通信设备,铜缆高速连接,91.43,14.27,8.44,1.44,1.44,96.16,49.68,35.02
2026-05-18,"=""603306""",华懋科技,短期强度Top20,光刻胶,光刻胶,90.41,54.52,8.57,48.86,52.7832,79.33,72.87,29.45
2026-05-18,"=""603256""",宏和科技,短期强度Top20,电子-电子化学品Ⅱ,电子-电子化学品Ⅱ,89.7,9.51,12.19,97.96,97.96,93.61,65.97,30.53
2026-05-18,"=""002384""",东山精密,P9买入Top20,共封装光学(CPO)/电子-元件/光纤概念,电子-元件,89.47,1.51,5.02,89.05,89.05,84.92,47.37,37.39
2026-05-18,"=""002980""",华盛昌,短期强度Top20,PM2.5/电力设备-电网设备,PM2.5,88.58,0.3,14.9,98.02,98.02,72.28,52.49,23.36
2026-05-18,"=""001309""",德明利,短期强度Top20,中芯国际概念/电子-半导体/存储芯片/共封装光学(CPO),中芯国际概念,88.55,1.61,2.18,11.96,11.96,85.84,77.77,29.32
2026-05-18,"=""002428""",云南锗业,短期强度Top20,第三代半导体/氟化工概念/光纤概念,氟化工概念,88.55,2.88,4.05,1.81,1.81,78.76,51.23,28.79
2026-05-18,"=""002046""",国机精工,P9买入Top20,中芯国际概念/第三代半导体/工业母机,工业母机,87.42,10.88,35.8,93.74,95.132,79.32,43.8,32.26
2026-05-18,"=""603083""",剑桥科技,P9买入Top20,WiFi 6/F5G概念/通信-通信设备,F5G概念,87.29,12.56,8.54,97.32,97.32,91.44,41.19,33.08
2026-05-18,"=""002149""",西部材料,P9买入Top20,有色金属-小金属/超导概念,超导概念,86.95,15.51,5.73,59.44,59.44,91.02,36.07,33.56
2026-05-18,"=""605376""",博迁新材,P9买入Top20,3D打印,3D打印,86.24,16.44,57.97,99.2,105.9128,73.62,40.84,32.56
2026-05-18,"=""601208""",东材科技,P9买入Top20,光刻胶/OLED/特高压/基础化工-塑料,基础化工-塑料,86.1,17.28,7.03,71.53,71.53,91.08,45.86,32.57
2026-05-18,"=""002916""",深南电路,短期强度Top20,存储芯片/先进封装/富士康概念/电子-元件,先进封装,85.93,22.61,7.13,12.36,12.36,88.11,56.2,27.91
2026-05-18,"=""600673""",东阳光,短期强度Top20,PVDF概念/氟化工概念,PVDF概念,85.68,22.74,37.81,89.15,91.0244,69.1,51.98,29.36
2026-05-18,"=""600869""",远东股份,P9买入Top20,柔性直流输电/铜缆高速连接/电力设备-电网设备/特高压/超导概念,柔性直流输电,85.6,14.94,6.36,27.8,27.8,79.73,32.79,37.64
2026-05-18,"=""002487""",大金重工,P9买入Top20,电力设备-风电设备,电力设备-风电设备,85.38,33.86,32.55,74.28,75.5096,84.48,35.64,34.6
2026-05-18,"=""002361""",神剑股份,P9买入Top20,基础化工-塑料/3D打印,基础化工-塑料,85.23,27.56,17.35,3.65,3.65,91.08,45.86,32.57
2026-05-18,"=""600183""",生益科技,短期强度Top20,存储芯片/先进封装/电子-元件,先进封装,85.17,4.92,4.12,3.92,3.92,88.11,56.2,27.91
2026-05-18,"=""003018""",金富科技,P9买入Top20,轻工制造-包装印刷,轻工制造-包装印刷,84.92,0.33,12.63,22.54,22.54,80.39,41.27,33.24
2026-05-18,"=""603626""",科森科技,短期强度Top20,富士康概念/新型烟草(电子烟),富士康概念,82.96,53.85,34.43,29.74,34.6192,91.26,52.38,27.33
2026-05-18,"=""002759""",天际股份,短期强度Top20,氟化工概念,氟化工概念,82.88,59.31,75.12,77.03,92.5484,78.76,51.23,28.79
2026-05-18,"=""603286""",日盈电子,短期强度Top20,PM2.5,PM2.5,82.59,62.76,51.04,23.71,34.0012,72.28,52.49,23.36
2026-05-18,"=""002838""",道恩股份,短期强度Top20,PEEK材料/基础化工-塑料,PEEK材料,82.07,9.04,3.78,34.9,34.9,90.14,53.14,31.67
2026-05-18,"=""000811""",冰轮环境,短期强度Top20,中芯国际概念/超导概念,中芯国际概念,82.06,10.98,2.44,11.09,11.09,85.84,77.77,29.32
2026-05-18,"=""603629""",利通电子,短期强度Top20,OLED/英伟达概念,OLED,82.0,3.25,2.95,1.04,1.04,85.42,54.93,28.66
2026-05-18,"=""002202""",金风科技,P9买入Top20,电力设备-风电设备,电力设备-风电设备,81.35,52.24,74.31,60.65,74.8428,84.48,35.64,34.6
2026-05-18,"=""603618""",杭电股份,P9买入Top20,电力设备-电网设备,电力设备-电网设备,81.29,11.15,4.82,12.93,12.93,79.27,34.85,34.26
2026-05-18,"=""002837""",英维克,P9买入Top20,英伟达概念,英伟达概念,81.16,54.89,77.93,39.15,54.6356,86.27,43.54,31.93
2026-05-18,"=""002565""",顺灏股份,短期强度Top20,新型烟草(电子烟)/轻工制造-包装印刷,新型烟草(电子烟),81.09,78.67,92.43,84.93,101.734,97.15,51.52,30.84
2026-05-18,"=""002851""",麦格米特,P9买入Top20,第三代半导体/英伟达概念,英伟达概念,81.06,38.55,14.84,36.87,38.238,86.27,43.54,31.93
2026-05-18,"=""002975""",博杰股份,短期强度Top20,机械设备-自动化设备/富士康概念/新型烟草(电子烟)/工业母机,机械设备-自动化设备,81.01,36.27,5.19,34.96,35.9632,73.17,80.84,30.28
2026-05-18,"=""000657""",中钨高新,P9买入Top20,有色金属-小金属,有色金属-小金属,80.79,53.58,30.38,67.68,71.544,82.79,12.44,41.34
2026-05-18,"=""603920""",世运电路,短期强度Top20,OLED,OLED,80.56,19.66,14.0,90.76,90.76,85.42,54.93,28.66
