交易日期,编号,名称,涨幅%,来源路线,关切板块,契合主线,龙头指数,P1,P2,P4,混合分,Pattern,ATR%,建议仓位,长期主线指数,短期主线指数,P9买入分,P4五日均,P4五日std,macd
2026-05-15,"=""002792""",通宇通讯,-1.4466,轮转预期,中俄贸易概念/数字乡村/无人驾驶/华为汽车/人工智能/一带一路/毫米波雷达/换电概念/F5G概念/粤港澳大湾区/低空经济/乡村振兴/卫星导航/华为概念/汽车电子/消费电子概念/商业航天/WiFi 6/6G概念/5G/铜缆高速连接/虚拟电厂/储能/通信-通信设备/共封装光学(CPO),F5G概念,77.74,45.43,84.77,97.76,111.084,,0.07,17.58,91.44,41.19,33.08,92.42,8.6,above_signal
2026-05-15,"=""600549""",厦门钨业,-3.1205,轮转预期,动力电池回收/金属钴/国企改革/福建自贸区/可控核聚变/宁德时代概念/光伏概念/无人机/小金属概念/锂电池概念/机器人概念/稀土永磁/固态电池/商业航天/军工/海峡两岸/有色金属-小金属,稀土永磁,68.76,60.36,90.93,88.45,102.6844,,0.06,20.48,79.46,33.38,34.69,68.37,18.26,below_signal
2026-05-15,"=""002846""",英联股份,0.0704,轮转预期,轻工制造-包装印刷,轻工制造-包装印刷,63.55,52.63,97.99,88.59,99.8932,,0.04,30.16,80.39,41.27,33.24,68.97,24.23,below_signal
2026-05-15,"=""002969""",嘉美包装,-2.9981,轮转预期,啤酒概念/回购增持再贷款概念/股权转让(并购重组)/海峡两岸/轻工制造-包装印刷,轻工制造-包装印刷,66.23,94.78,86.44,81.36,97.4496,,0.07,16.61,80.39,41.27,33.24,79.8,12.25,dead_cross
2026-05-15,"=""002471""",中超控股,-2.9091,轮转预期,大飞机/石墨烯/水利/数字经济/航空发动机/智能电网/电力设备-电网设备/军民融合/一带一路/柔性直流输电/创投/高端装备/机器人概念/无人机/海工装备/低空经济/核电/商业航天/充电桩/军工/光伏概念/数据中心/东数西算(算力)/风电,电力设备-电网设备,73.95,94.84,86.74,80.42,96.428,,0.05,22.3,79.27,34.85,34.26,44.73,19.16,below_signal
2026-05-15,"=""000969""",安泰科技,-1.7312,轮转预期,有色金属-金属新材料/核污染防治/国企改革/无线充电/央企国企改革/创投/碳纤维/大飞机/燃料电池/一带一路/氢能源/航空发动机/京津冀一体化/飞行汽车(eVTOL)/MicroLED概念/核电/机器人概念/商业航天/3D打印/低空经济/军工/华为手机/华为概念/海工装备/中芯国际概念/小米概念/稀土永磁/新能源汽车,3D打印,64.02,56.31,44.22,78.35,85.9724,,0.03,37.84,73.62,40.84,32.56,59.49,18.19,above_signal
2026-05-15,"=""600392""",盛和资源,-0.2381,轮转预期,参股保险/国企改革/西部大开发/稀土永磁/小金属概念/有色金属-小金属,稀土永磁,70.06,65.12,80.82,68.47,85.8924,,0.05,24.36,79.46,33.38,34.69,62.52,20.39,dead_cross
2026-05-15,"=""002272""",川润股份,-2.2941,轮转预期,光热发电/垃圾分类/抽水蓄能/碳中和/工业互联网/水利/风电/超超临界发电/氢能源/数字经济/华为概念/机器人概念/储能/西部大开发/机械设备-通用设备/传感器/核电/低空经济/军工/数据中心/智能电网/高端装备/液冷服务器/特高压,特高压,69.71,84.63,55.74,71.02,84.4568,,0.06,19.64,85.66,36.4,34.13,51.93,25.8,above_signal
2026-05-15,"=""001208""",华菱线缆,-0.3109,轮转预期,电力设备-电网设备,电力设备-电网设备,61.81,85.1,92.17,55.22,71.4832,,0.05,23.89,79.27,34.85,34.26,49.73,18.5,dead_cross
2026-05-15,"=""002545""",东方铁塔,-2.511,轮转预期,化肥/一带一路/风电/基础化工-农化制品/智能电网/特高压,特高压,64.22,48.38,58.79,60.78,70.6304,,0.06,19.16,85.66,36.4,34.13,53.42,29.21,above_signal
2026-05-15,"=""002836""",新宏泽,0.8758,轮转预期,轻工制造-包装印刷,轻工制造-包装印刷,62.28,90.66,99.26,41.67,55.342,,0.04,33.0,80.39,41.27,33.24,55.05,7.36,dead_cross
2026-05-15,"=""002448""",中原内配,1.4094,轮转预期,互联网金融/绿色电力/MCU芯片/乡村振兴/工业母机/农机/氢能源/长安汽车概念/车联网(车路协同)/燃料电池/无人驾驶/无人机/华为概念/机器人概念/汽车-汽车零部件/新能源汽车/比亚迪概念/汽车电子/5G/人形机器人,工业母机,75.49,48.21,59.09,42.7,52.5952,,0.05,22.71,79.32,43.8,32.26,30.57,26.64,dead_cross
2026-05-15,"=""002169""",智光电气,-1.3976,轮转预期,钒电池/绿色电力/碳中和/虚拟电厂/工业互联网/储能/电力物联网/充电桩/光伏概念/智能电网/宁德时代概念/特高压/数据中心,特高压,65.88,87.85,50.32,37.48,49.1008,,0.04,29.31,85.66,36.4,34.13,42.43,5.12,above_signal
2026-05-15,"=""002413""",雷科防务,-0.6284,轮转预期,国防军工-军工电子Ⅱ/大飞机/养老概念/车联网(车路协同)/京津冀一体化/无人驾驶/人工智能/数据要素/商业航天/军工信息化/毫米波雷达/DeepSeek概念/华为概念/低空经济/无人机/军工/比亚迪概念/6G概念/汽车电子/芯片概念/军民融合/太赫兹/卫星导航/5G/存储芯片/东数西算(算力),6G概念,68.37,84.06,83.13,24.67,43.2692,,0.05,25.02,88.68,33.77,34.75,34.81,21.52,dead_cross
2026-05-15,"=""000659""",珠海中富,1.4634,轮转预期,轻工制造-包装印刷,轻工制造-包装印刷,68.28,70.04,73.12,24.33,41.0852,,0.05,22.33,80.39,41.27,33.24,25.82,13.17,above_signal
2026-05-15,"=""002378""",章源钨业,-4.5727,轮转预期,工业母机/金属铜/光伏概念/军工/小金属概念,工业母机,77.16,82.26,73.38,21.72,39.7696,,0.07,17.58,79.32,43.8,32.26,36.31,17.55,dead_cross
2026-05-15,"=""002546""",新联电子,-2.6035,轮转预期,虚拟电厂/充电桩/数据要素/电力物联网/物联网/电力设备-电网设备,电力设备-电网设备,60.75,83.63,43.05,26.47,37.0212,,0.03,34.29,79.27,34.85,34.26,46.8,26.67,above_signal
2026-05-15,"=""600590""",泰豪科技,-3.5526,轮转预期,电力物联网/军工信息化/氢能源/IP经济(谷子经济)/国产航母/国防军工-军工电子Ⅱ/碳纤维/光伏概念/AI智能体/智能医疗/腾讯概念/无人机/创投/燃料电池/华为概念/虚拟现实/区块链/军民融合/储能/智能电网/一带一路/低空经济/军工/机器人概念/数据中心/6G概念/卫星导航/太赫兹,6G概念,65.86,58.86,41.14,29.15,36.4412,,0.07,17.54,88.68,33.77,34.75,39.52,24.95,below_signal
