symbol,name,all_rating_2026-04-03,all_rating_2026-04-07,all_rating_2026-04-08,all_rating_2026-04-09,all_rating_2026-04-10,avg_all_rating_5d,ma_rating,osc_rating,all_rating,ma_rating_label,osc_rating_label,all_rating_label,trade_date
"=""603284""",林平发展,0.5714285714285714,0.5625,0.7222222222222222,0.7222222222222222,0.6666666666666666,0.6490079365079364,1.0,0.3333333333333333,0.6666666666666666,strong_buy,buy,strong_buy,2026-04-10
"=""002328""",新朋股份,0.5575757575757576,0.5575757575757576,0.5575757575757576,0.603030303030303,0.6484848484848484,0.5848484848484848,0.9333333333333333,0.36363636363636365,0.6484848484848484,strong_buy,buy,strong_buy,2026-04-10
"=""002947""",恒铭达,0.5575757575757576,0.5575757575757576,0.5575757575757576,0.6484848484848484,0.5575757575757576,0.5757575757575758,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""002718""",友邦吊顶,0.48376623376623373,0.5551948051948052,0.6461038961038961,0.6461038961038961,0.5097402597402597,0.5681818181818181,0.9285714285714286,0.09090909090909091,0.5097402597402597,strong_buy,neutral,strong_buy,2026-04-10
"=""601133""",柏诚股份,0.5575757575757576,0.603030303030303,0.5575757575757576,0.603030303030303,0.49090909090909096,0.5624242424242425,0.8,0.18181818181818182,0.49090909090909096,strong_buy,buy,buy,2026-04-10
"=""000586""",汇源通信,0.6484848484848484,0.6484848484848484,0.603030303030303,0.603030303030303,0.3090909090909091,0.5624242424242424,0.8,-0.18181818181818182,0.3090909090909091,strong_buy,sell,buy,2026-04-10
"=""600176""",中国巨石,0.5575757575757576,0.5575757575757576,0.603030303030303,0.5121212121212121,0.5575757575757576,0.5575757575757576,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""002655""",共达电声,0.6484848484848484,0.5575757575757576,0.5121212121212121,0.5575757575757576,0.5121212121212121,0.5575757575757576,0.9333333333333333,0.09090909090909091,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10
"=""002281""",光迅科技,0.5121212121212121,0.603030303030303,0.603030303030303,0.603030303030303,0.4666666666666667,0.5575757575757576,0.9333333333333333,0.0,0.4666666666666667,strong_buy,neutral,buy,2026-04-10
"=""603985""",恒润股份,0.6484848484848484,0.603030303030303,0.603030303030303,0.35454545454545455,0.5363636363636364,0.5490909090909091,0.8,0.2727272727272727,0.5363636363636364,strong_buy,buy,strong_buy,2026-04-10
"=""600654""",中安科,0.4242424242424242,0.6484848484848484,0.693939393939394,0.603030303030303,0.35454545454545455,0.5448484848484848,0.8,-0.09090909090909091,0.35454545454545455,strong_buy,neutral,buy,2026-04-10
"=""600345""",长江通信,0.49090909090909096,0.49090909090909096,0.5121212121212121,0.603030303030303,0.603030303030303,0.54,0.9333333333333333,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10
"=""603196""",璞源材料,0.4,0.49090909090909096,0.6484848484848484,0.603030303030303,0.5575757575757576,0.54,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""002428""",云南锗业,0.603030303030303,0.5575757575757576,0.5121212121212121,0.4666666666666667,0.5575757575757576,0.5393939393939394,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""605319""",无锡振华,0.603030303030303,0.5575757575757576,0.5575757575757576,0.4212121212121212,0.5575757575757576,0.5393939393939394,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""002645""",华宏科技,0.49090909090909096,0.5121212121212121,0.4666666666666667,0.6484848484848484,0.5575757575757576,0.5351515151515152,0.9333333333333333,0.18181818181818182,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10
"=""603897""",长城科技,0.4666666666666667,0.5575757575757576,0.603030303030303,0.5121212121212121,0.5363636363636364,0.5351515151515152,0.8,0.2727272727272727,0.5363636363636364,strong_buy,buy,strong_buy,2026-04-10
