symbol,name,all_rating_2026-04-03,all_rating_2026-04-07,all_rating_2026-04-08,all_rating_2026-04-09,all_rating_2026-04-10,avg_all_rating_5d,ma_rating,osc_rating,all_rating,ma_rating_label,osc_rating_label,all_rating_label,trade_date,macd_top_divergence_15d,macd_bottom_divergence_15d,macd_top_divergence_signal_date,macd_bottom_divergence_signal_date
"=""603076""",乐惠国际,0.4454545454545455,0.603030303030303,0.4666666666666667,0.3545454545454545,0.4909090909090909,0.4721212121212121,0.8,0.1818181818181818,0.4909090909090909,strong_buy,buy,buy,2026-04-10,True,False,2026-04-01,
"=""601866""",中远海发,0.4666666666666667,0.6484848484848484,0.4,0.4,0.4454545454545455,0.4721212121212121,0.8,0.0909090909090909,0.4454545454545455,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""001400""",江顺科技,0.4,0.4909090909090909,0.603030303030303,0.4666666666666667,0.4,0.4721212121212121,0.8,0.0,0.4,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""001309""",德明利,0.2666666666666666,0.5121212121212121,0.4212121212121212,0.5121212121212121,0.6484848484848484,0.472121212121212,0.9333333333333332,0.3636363636363636,0.6484848484848484,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""603876""",鼎胜新材,0.4,0.3333333333333333,0.3757575757575757,0.6484848484848484,0.603030303030303,0.472121212121212,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,True,False,2026-04-01,
"=""603906""",龙蟠科技,0.4454545454545455,0.3787878787878788,0.5121212121212121,0.5121212121212121,0.5121212121212121,0.472121212121212,0.9333333333333332,0.0909090909090909,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10,False,False,,
"=""002408""",齐翔腾达,0.0666666666666666,0.6484848484848484,0.5575757575757576,0.603030303030303,0.4666666666666667,0.4684848484848484,0.9333333333333332,0.0,0.4666666666666667,strong_buy,neutral,buy,2026-04-10,True,False,2026-03-30,
"=""603033""",三维股份,0.4696969696969696,0.4696969696969696,0.5575757575757576,0.4,0.4454545454545455,0.4684848484848484,0.8,0.0909090909090909,0.4454545454545455,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""002176""",江特电机,0.2666666666666666,0.4909090909090909,0.4666666666666667,0.5121212121212121,0.603030303030303,0.4678787878787879,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,True,False,2026-04-01,
"=""600309""",万华化学,0.2454545454545454,0.5575757575757576,0.5121212121212121,0.4666666666666667,0.5575757575757576,0.4678787878787879,0.9333333333333332,0.1818181818181818,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""000967""",盈峰环境,0.3090909090909091,0.4,0.5121212121212121,0.5121212121212121,0.603030303030303,0.4672727272727273,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,True,False,2026-04-07,
"=""603538""",美诺华,0.3090909090909091,0.4454545454545455,0.5121212121212121,0.4666666666666667,0.603030303030303,0.4672727272727273,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""600105""",永鼎股份,0.3545454545454545,0.4,0.5121212121212121,0.5121212121212121,0.5575757575757576,0.4672727272727273,0.9333333333333332,0.1818181818181818,0.5575757575757576,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""002222""",福晶科技,0.5575757575757576,0.5121212121212121,0.4212121212121212,0.3545454545454545,0.4909090909090909,0.4672727272727273,0.8,0.1818181818181818,0.4909090909090909,strong_buy,buy,buy,2026-04-10,False,False,,
"=""002107""",沃华医药,0.5121212121212121,0.603030303030303,0.2181818181818182,0.5575757575757576,0.4454545454545455,0.4672727272727273,0.8,0.0909090909090909,0.4454545454545455,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""002051""",中工国际,0.3545454545454545,0.603030303030303,0.603030303030303,0.4212121212121212,0.3545454545454545,0.4672727272727273,0.8,-0.0909090909090909,0.3545454545454545,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""002840""",华统股份,0.5575757575757576,0.603030303030303,0.5575757575757576,0.3090909090909091,0.3090909090909091,0.4672727272727273,0.8,-0.1818181818181818,0.3090909090909091,strong_buy,sell,buy,2026-04-10,False,False,,
"=""603387""",基蛋生物,0.5363636363636364,0.5363636363636364,0.4454545454545455,0.2,0.603030303030303,0.4642424242424242,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""603599""",广信股份,0.3575757575757575,0.603030303030303,0.4666666666666667,0.4909090909090909,0.4,0.4636363636363637,0.8,0.0,0.4,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""600482""",中国动力,0.3333333333333333,0.2212121212121212,0.5121212121212121,0.6484848484848484,0.603030303030303,0.4636363636363635,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,True,False,2026-04-07,
"=""002083""",孚日股份,0.3090909090909091,0.4909090909090909,0.5121212121212121,0.4,0.603030303030303,0.463030303030303,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""603819""",神力股份,0.4454545454545455,0.4909090909090909,0.4,0.4666666666666667,0.5121212121212121,0.463030303030303,0.9333333333333332,0.0909090909090909,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10,False,False,,
"=""003018""",金富科技,0.3090909090909091,0.4242424242424242,0.603030303030303,0.5121212121212121,0.4666666666666667,0.463030303030303,0.9333333333333332,0.0,0.4666666666666667,strong_buy,neutral,buy,2026-04-10,False,False,,
"=""600926""",杭州银行,0.4666666666666667,0.4,0.4666666666666667,0.4666666666666667,0.5121212121212121,0.4624242424242424,0.9333333333333332,0.0909090909090909,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10,False,False,,
"=""603626""",科森科技,0.3575757575757575,0.3575757575757575,0.5575757575757576,0.4212121212121212,0.603030303030303,0.4593939393939393,0.9333333333333332,0.2727272727272727,0.603030303030303,strong_buy,buy,strong_buy,2026-04-10,False,False,,
"=""600166""",福田汽车,0.403030303030303,0.3575757575757575,0.5575757575757576,0.4666666666666667,0.5121212121212121,0.4593939393939393,0.9333333333333332,0.0909090909090909,0.5121212121212121,strong_buy,neutral,strong_buy,2026-04-10,False,False,,
