trade_date,symbol,name,pattern_id,close,old_high_date,distance_to_old_high_pct,reason,ma_10,ma_20,ma_60,return_15d,volume_ratio_20,platform_window_days,platform_range_pct,breakout_date,distance_to_platform_high_pct,distance_to_ma20,drawdown_15d,volume_contraction_ratio,consolidation_days,consolidation_range_pct,consolidation_volume_ratio,old_high_price,days_since_old_high,max_drawdown_since_old_high,tradingview_all_rating_2026-04-03,tradingview_all_rating_2026-04-07,tradingview_all_rating_2026-04-08,tradingview_all_rating_2026-04-09,tradingview_all_rating_2026-04-10,tradingview_avg_all_rating_5d,tradingview_all_rating_label,macd_top_divergence_15d,macd_bottom_divergence_15d
2026-04-10,"=""002638""",勤上股份,3,4.27,,,"trend pullback near MA20: distance=2.62%, drawdown_15d=3.39%, vol_5d/20d=0.60",4.274,4.161,3.5152,0.0756,0.7036,,,,,0.02619562605143,0.03393665158371051,0.6031106380984282,,,,,,,0.2666666666666666,0.4,0.3757575757575757,0.3090909090909091,0.3333333333333333,0.336969696969697,buy,True,False
2026-04-10,"=""002756""",永兴材料,3,71.77,,,"trend pullback near MA20: distance=1.93%, drawdown_15d=11.62%, vol_5d/20d=0.80",74.186,70.4095,61.055,0.2327,1.0146,,,,,0.01932267662744347,0.11624184213766775,0.7953565454407264,,,,,,,0.1757575757575757,0.2424242424242424,0.2424242424242424,0.0424242424242424,0.3333333333333333,0.2072727272727272,buy,True,False
2026-04-10,"=""002832""",比音勒芬,3,17.41,,,"trend pullback near MA20: distance=1.83%, drawdown_15d=0.63%, vol_5d/20d=0.82",17.284,17.0965,16.0563,0.0308,0.7888,,,,,0.018337086538180447,0.006278538812785395,0.8233804501254054,,,,,,,0.3787878787878788,0.2666666666666666,0.3757575757575757,0.4666666666666667,0.4212121212121212,0.3818181818181818,buy,True,False
2026-04-10,"=""600233""",圆通速递,3,20.5,,,"trend pullback near MA20: distance=2.05%, drawdown_15d=1.44%, vol_5d/20d=0.76",20.268,20.0875,18.604,0.0396,0.9473,,,,,0.020535158680771604,0.014423076923076983,0.7626546162450918,,,,,,,0.2424242424242424,0.0666666666666666,0.0424242424242424,0.0636363636363636,0.4666666666666667,0.1763636363636363,buy,True,False
2026-04-10,"=""603803""",瑞斯康达,3,13.87,,,"trend pullback near MA20: distance=1.14%, drawdown_15d=11.15%, vol_5d/20d=0.82",13.519,13.713,11.5382,-0.0022,0.8607,,,,,0.011448990009480076,0.11146700832799494,0.8172688724173257,,,,,,,0.2,0.1090909090909091,0.4212121212121212,0.4666666666666667,0.4454545454545455,0.3284848484848485,buy,False,False
2026-04-10,"=""000973""",佛塑科技,4,18.12,,,"second wave after 32.07% in 30d, consolidation=7d range=13.58%, vol_ratio=0.68",18.103,17.3045,14.6352,0.2096,1.0426,,,,,,,,7.0,0.13582443653618026,0.6757909908971699,,,,0.1757575757575757,0.3090909090909091,0.4,0.2424242424242424,0.3757575757575757,0.3006060606060606,buy,False,False
2026-04-10,"=""002350""",北京科锐,4,14.87,,,"second wave after 32.77% in 30d, consolidation=9d range=12.90%, vol_ratio=0.64",14.17,14.1505,11.7827,0.0999,0.7688,,,,,,,,9.0,0.12900820283370623,0.6416937321881985,,,,0.0424242424242424,0.3121212121212121,0.3757575757575757,0.4666666666666667,0.4212121212121212,0.3236363636363636,buy,False,False
2026-04-10,"=""002432""",九安医疗,4,92.75,,,"second wave after 111.90% in 30d, consolidation=5d range=13.82%, vol_ratio=0.87",81.215,70.6025,53.1912,0.4064,0.6605,,,,,,,,5.0,0.13824943081204139,0.8659496074430661,,,,0.4,0.4909090909090909,0.5575757575757576,0.3545454545454545,0.603030303030303,0.4812121212121212,strong_buy,False,False
2026-04-10,"=""003036""",泰坦股份,4,26.48,,,"second wave after 43.29% in 30d, consolidation=5d range=11.45%, vol_ratio=0.54",25.403,22.996,19.1287,0.2949,0.6581,,,,,,,,5.0,0.11446808510638304,0.5353590787526368,,,,0.2666666666666666,0.2666666666666666,0.4,0.2424242424242424,0.4666666666666667,0.3284848484848485,buy,False,False
2026-04-10,"=""600539""",狮头股份,4,14.79,,,"second wave after 25.77% in 30d, consolidation=6d range=13.39%, vol_ratio=0.78",14.588,13.3015,11.8767,0.2418,1.2782,,,,,,,,6.0,0.13387573964497046,0.7763259316168696,,,,0.4909090909090909,0.4909090909090909,0.5121212121212121,0.5121212121212121,0.5575757575757576,0.5127272727272727,strong_buy,False,False
